DATE,XTIMVA01BEM664S
2017-01-01,29883300000.0
2017-02-01,30036600000.0
2017-03-01,30690600000.0
2017-04-01,30195600000.0
2017-05-01,30297000000.0
2017-06-01,30053200000.0
2017-07-01,29983300000.0
2017-08-01,30346600000.0
2017-09-01,30230000000.0
2017-10-01,30141400000.0
2017-11-01,30498000000.0
2017-12-01,31457100000.0
2018-01-01,31765100000.0
2018-02-01,31132200000.0
2018-03-01,31505800000.0
2018-04-01,31014300000.0
2018-05-01,31436600000.0
2018-06-01,32105200000.000004
2018-07-01,33134600000.0
2018-08-01,32819499999.999996
2018-09-01,32692300000.000004
2018-10-01,32240000000.000004
2018-11-01,33115900000.000004
2018-12-01,32869500000.000004
2019-01-01,31872300000.0
2019-02-01,31912900000.0
2019-03-01,32430000000.0
2019-04-01,32981800000.0
2019-05-01,32326500000.000004
2019-06-01,32420800000.0
2019-07-01,32005100000.0
2019-08-01,31149800000.0
2019-09-01,32107799999.999996
2019-10-01,31518500000.0
2019-11-01,31445400000.0
2019-12-01,30920900000.0
2020-01-01,32193500000.0
2020-02-01,32293700000.0
2020-03-01,29222600000.0
2020-04-01,24304600000.0
2020-05-01,25197200000.0
2020-06-01,27069000000.0
2020-07-01,27979700000.0
2020-08-01,29176800000.0
2020-09-01,29695200000.0
2020-10-01,28737900000.0
2020-11-01,29730200000.0
2020-12-01,31126500000.0
2021-01-01,30340300000.0
2021-02-01,31595600000.0
2021-03-01,33006999999.999996
2021-04-01,33831899999.999996
2021-05-01,35721400000.0
2021-06-01,34918000000.0
2021-07-01,35064800000.0
2021-08-01,36685500000.0
2021-09-01,37067900000.0
2021-10-01,39393400000.0
2021-11-01,39614200000.0
2021-12-01,44135700000.0
2022-01-01,45900900000.0
2022-02-01,45454100000.0
2022-03-01,46760200000.0
2022-04-01,48300700000.0
2022-05-01,48778400000.0
