row_id,date,country,store,product,num_sold
0,0,2017-01-01,Belgium,KaggleMart,Kaggle Advanced Techniques,430.93548387096774
48,48,2017-01-02,Belgium,KaggleMart,Kaggle Advanced Techniques,514.0
96,96,2017-01-03,Belgium,KaggleMart,Kaggle Advanced Techniques,430.93548387096774
144,144,2017-01-04,Belgium,KaggleMart,Kaggle Advanced Techniques,477.0
192,192,2017-01-05,Belgium,KaggleMart,Kaggle Advanced Techniques,447.0
240,240,2017-01-06,Belgium,KaggleMart,Kaggle Advanced Techniques,431.0
288,288,2017-01-07,Belgium,KaggleMart,Kaggle Advanced Techniques,447.0
336,336,2017-01-08,Belgium,KaggleMart,Kaggle Advanced Techniques,497.0
384,384,2017-01-09,Belgium,KaggleMart,Kaggle Advanced Techniques,359.0
432,432,2017-01-10,Belgium,KaggleMart,Kaggle Advanced Techniques,384.0
480,480,2017-01-11,Belgium,KaggleMart,Kaggle Advanced Techniques,379.0
528,528,2017-01-12,Belgium,KaggleMart,Kaggle Advanced Techniques,386.0
576,576,2017-01-13,Belgium,KaggleMart,Kaggle Advanced Techniques,349.0
624,624,2017-01-14,Belgium,KaggleMart,Kaggle Advanced Techniques,429.0
672,672,2017-01-15,Belgium,KaggleMart,Kaggle Advanced Techniques,471.0
720,720,2017-01-16,Belgium,KaggleMart,Kaggle Advanced Techniques,378.0
768,768,2017-01-17,Belgium,KaggleMart,Kaggle Advanced Techniques,373.0
816,816,2017-01-18,Belgium,KaggleMart,Kaggle Advanced Techniques,396.0
864,864,2017-01-19,Belgium,KaggleMart,Kaggle Advanced Techniques,396.0
912,912,2017-01-20,Belgium,KaggleMart,Kaggle Advanced Techniques,396.0
960,960,2017-01-21,Belgium,KaggleMart,Kaggle Advanced Techniques,435.0
1008,1008,2017-01-22,Belgium,KaggleMart,Kaggle Advanced Techniques,489.0
1056,1056,2017-01-23,Belgium,KaggleMart,Kaggle Advanced Techniques,432.0
1104,1104,2017-01-24,Belgium,KaggleMart,Kaggle Advanced Techniques,397.0
1152,1152,2017-01-25,Belgium,KaggleMart,Kaggle Advanced Techniques,415.0
1200,1200,2017-01-26,Belgium,KaggleMart,Kaggle Advanced Techniques,388.0
1248,1248,2017-01-27,Belgium,KaggleMart,Kaggle Advanced Techniques,428.0
1296,1296,2017-01-28,Belgium,KaggleMart,Kaggle Advanced Techniques,426.0
1344,1344,2017-01-29,Belgium,KaggleMart,Kaggle Advanced Techniques,438.0
1392,1392,2017-01-30,Belgium,KaggleMart,Kaggle Advanced Techniques,375.0
1440,1440,2017-01-31,Belgium,KaggleMart,Kaggle Advanced Techniques,401.0
1488,1488,2017-02-01,Belgium,KaggleMart,Kaggle Advanced Techniques,405.0
1536,1536,2017-02-02,Belgium,KaggleMart,Kaggle Advanced Techniques,403.0
1584,1584,2017-02-03,Belgium,KaggleMart,Kaggle Advanced Techniques,454.0
1632,1632,2017-02-04,Belgium,KaggleMart,Kaggle Advanced Techniques,459.0
1680,1680,2017-02-05,Belgium,KaggleMart,Kaggle Advanced Techniques,473.0
1728,1728,2017-02-06,Belgium,KaggleMart,Kaggle Advanced Techniques,474.0
1776,1776,2017-02-07,Belgium,KaggleMart,Kaggle Advanced Techniques,408.0
1824,1824,2017-02-08,Belgium,KaggleMart,Kaggle Advanced Techniques,419.0
1872,1872,2017-02-09,Belgium,KaggleMart,Kaggle Advanced Techniques,396.0
1920,1920,2017-02-10,Belgium,KaggleMart,Kaggle Advanced Techniques,419.0
1968,1968,2017-02-11,Belgium,KaggleMart,Kaggle Advanced Techniques,492.0
2016,2016,2017-02-12,Belgium,KaggleMart,Kaggle Advanced Techniques,538.0
2064,2064,2017-02-13,Belgium,KaggleMart,Kaggle Advanced Techniques,437.0
2112,2112,2017-02-14,Belgium,KaggleMart,Kaggle Advanced Techniques,439.0
2160,2160,2017-02-15,Belgium,KaggleMart,Kaggle Advanced Techniques,418.0
2208,2208,2017-02-16,Belgium,KaggleMart,Kaggle Advanced Techniques,442.0
2256,2256,2017-02-17,Belgium,KaggleMart,Kaggle Advanced Techniques,474.0
2304,2304,2017-02-18,Belgium,KaggleMart,Kaggle Advanced Techniques,481.0
2352,2352,2017-02-19,Belgium,KaggleMart,Kaggle Advanced Techniques,499.0
2400,2400,2017-02-20,Belgium,KaggleMart,Kaggle Advanced Techniques,436.0
2448,2448,2017-02-21,Belgium,KaggleMart,Kaggle Advanced Techniques,445.0
2496,2496,2017-02-22,Belgium,KaggleMart,Kaggle Advanced Techniques,428.0
2544,2544,2017-02-23,Belgium,KaggleMart,Kaggle Advanced Techniques,396.0
2592,2592,2017-02-24,Belgium,KaggleMart,Kaggle Advanced Techniques,445.0
2640,2640,2017-02-25,Belgium,KaggleMart,Kaggle Advanced Techniques,501.0
2688,2688,2017-02-26,Belgium,KaggleMart,Kaggle Advanced Techniques,523.0
2736,2736,2017-02-27,Belgium,KaggleMart,Kaggle Advanced Techniques,399.0
2784,2784,2017-02-28,Belgium,KaggleMart,Kaggle Advanced Techniques,453.0
2832,2832,2017-03-01,Belgium,KaggleMart,Kaggle Advanced Techniques,411.0
2880,2880,2017-03-02,Belgium,KaggleMart,Kaggle Advanced Techniques,388.0
2928,2928,2017-03-03,Belgium,KaggleMart,Kaggle Advanced Techniques,465.0
2976,2976,2017-03-04,Belgium,KaggleMart,Kaggle Advanced Techniques,467.0
3024,3024,2017-03-05,Belgium,KaggleMart,Kaggle Advanced Techniques,494.0
3072,3072,2017-03-06,Belgium,KaggleMart,Kaggle Advanced Techniques,430.0
3120,3120,2017-03-07,Belgium,KaggleMart,Kaggle Advanced Techniques,423.0
3168,3168,2017-03-08,Belgium,KaggleMart,Kaggle Advanced Techniques,430.0
3216,3216,2017-03-09,Belgium,KaggleMart,Kaggle Advanced Techniques,405.0
3264,3264,2017-03-10,Belgium,KaggleMart,Kaggle Advanced Techniques,476.0
3312,3312,2017-03-11,Belgium,KaggleMart,Kaggle Advanced Techniques,500.0
3360,3360,2017-03-12,Belgium,KaggleMart,Kaggle Advanced Techniques,503.0
3408,3408,2017-03-13,Belgium,KaggleMart,Kaggle Advanced Techniques,465.0
3456,3456,2017-03-14,Belgium,KaggleMart,Kaggle Advanced Techniques,472.0
3504,3504,2017-03-15,Belgium,KaggleMart,Kaggle Advanced Techniques,413.0
3552,3552,2017-03-16,Belgium,KaggleMart,Kaggle Advanced Techniques,423.0
3600,3600,2017-03-17,Belgium,KaggleMart,Kaggle Advanced Techniques,452.0
3648,3648,2017-03-18,Belgium,KaggleMart,Kaggle Advanced Techniques,504.0
3696,3696,2017-03-19,Belgium,KaggleMart,Kaggle Advanced Techniques,520.0
3744,3744,2017-03-20,Belgium,KaggleMart,Kaggle Advanced Techniques,449.0
3792,3792,2017-03-21,Belgium,KaggleMart,Kaggle Advanced Techniques,438.0
3840,3840,2017-03-22,Belgium,KaggleMart,Kaggle Advanced Techniques,439.0
3888,3888,2017-03-23,Belgium,KaggleMart,Kaggle Advanced Techniques,457.0
3936,3936,2017-03-24,Belgium,KaggleMart,Kaggle Advanced Techniques,476.0
3984,3984,2017-03-25,Belgium,KaggleMart,Kaggle Advanced Techniques,480.0
4032,4032,2017-03-26,Belgium,KaggleMart,Kaggle Advanced Techniques,543.0
4080,4080,2017-03-27,Belgium,KaggleMart,Kaggle Advanced Techniques,417.0
4128,4128,2017-03-28,Belgium,KaggleMart,Kaggle Advanced Techniques,453.0
4176,4176,2017-03-29,Belgium,KaggleMart,Kaggle Advanced Techniques,449.0
4224,4224,2017-03-30,Belgium,KaggleMart,Kaggle Advanced Techniques,427.0
4272,4272,2017-03-31,Belgium,KaggleMart,Kaggle Advanced Techniques,468.0
4320,4320,2017-04-01,Belgium,KaggleMart,Kaggle Advanced Techniques,561.0
4368,4368,2017-04-02,Belgium,KaggleMart,Kaggle Advanced Techniques,570.0
4416,4416,2017-04-03,Belgium,KaggleMart,Kaggle Advanced Techniques,498.0
4464,4464,2017-04-04,Belgium,KaggleMart,Kaggle Advanced Techniques,473.0
4512,4512,2017-04-05,Belgium,KaggleMart,Kaggle Advanced Techniques,440.0
4560,4560,2017-04-06,Belgium,KaggleMart,Kaggle Advanced Techniques,437.0
4608,4608,2017-04-07,Belgium,KaggleMart,Kaggle Advanced Techniques,461.0
4656,4656,2017-04-08,Belgium,KaggleMart,Kaggle Advanced Techniques,508.0
4704,4704,2017-04-09,Belgium,KaggleMart,Kaggle Advanced Techniques,537.0
4752,4752,2017-04-10,Belgium,KaggleMart,Kaggle Advanced Techniques,442.0
4800,4800,2017-04-11,Belgium,KaggleMart,Kaggle Advanced Techniques,490.0
4848,4848,2017-04-12,Belgium,KaggleMart,Kaggle Advanced Techniques,447.0
4896,4896,2017-04-13,Belgium,KaggleMart,Kaggle Advanced Techniques,469.0
4944,4944,2017-04-14,Belgium,KaggleMart,Kaggle Advanced Techniques,443.0
4992,4992,2017-04-15,Belgium,KaggleMart,Kaggle Advanced Techniques,554.0
5040,5040,2017-04-16,Belgium,KaggleMart,Kaggle Advanced Techniques,517.0
5088,5088,2017-04-17,Belgium,KaggleMart,Kaggle Advanced Techniques,455.0
5136,5136,2017-04-18,Belgium,KaggleMart,Kaggle Advanced Techniques,458.0
5184,5184,2017-04-19,Belgium,KaggleMart,Kaggle Advanced Techniques,439.0
5232,5232,2017-04-20,Belgium,KaggleMart,Kaggle Advanced Techniques,494.0
5280,5280,2017-04-21,Belgium,KaggleMart,Kaggle Advanced Techniques,490.0
5328,5328,2017-04-22,Belgium,KaggleMart,Kaggle Advanced Techniques,622.0
5376,5376,2017-04-23,Belgium,KaggleMart,Kaggle Advanced Techniques,579.0
