DATE,CPALTT01FRM659N
1960-01-01,4.919354839
1960-02-01,3.739061257
1960-03-01,3.987240829
1960-04-01,4.146730463
1960-05-01,4.574638844
1960-06-01,4.243394716
1960-07-01,4.309656824
1960-08-01,4.765687053
1960-09-01,4.42687747
1960-10-01,3.68338558
1960-11-01,3.348909657
1960-12-01,3.582554517
1961-01-01,2.305918524
1961-02-01,2.147239264
1961-03-01,2.070552147
1961-04-01,1.837672282
1961-05-01,1.8419033
1961-06-01,1.689708141
1961-07-01,2.065799541
1961-08-01,1.743745262
1961-09-01,2.119606359
1961-10-01,3.099017385
1961-11-01,3.843255463
1961-12-01,3.984962406
1962-01-01,4.583020285
1962-02-01,4.61092457
1962-03-01,5.32852043
1962-04-01,5.620874998
1962-05-01,6.180119314
1962-06-01,6.848961057
1962-07-01,6.473036394
1962-08-01,5.732696738
1962-09-01,5.604362589
1962-10-01,4.650871105
1962-11-01,4.204860198
1962-12-01,4.238108071
1963-01-01,4.378818737
1963-02-01,4.88301119
1963-03-01,4.550050556
1963-04-01,4.54086781
1963-05-01,4.6277666
1963-06-01,4.909819639
1963-07-01,4.890219561
1963-08-01,5.394605395
1963-09-01,5.671641791
1963-10-01,5.660377358
1963-11-01,5.330700888
1963-12-01,5.113077679
1964-01-01,4.682926829
1964-02-01,4.17070805
1964-03-01,3.965183752
1964-04-01,3.861003861
1964-05-01,3.557692308
1964-06-01,3.05635148
1964-07-01,2.949571836
1964-08-01,2.748815166
1964-09-01,2.542372881
1964-10-01,2.631578947
1964-11-01,2.343017807
1964-12-01,2.151543499
1965-01-01,2.329916123
1965-02-01,2.327746741
1965-03-01,2.511627907
1965-04-01,2.602230483
1965-05-01,2.78551532
1965-06-01,4.263206673
1965-07-01,3.049907579
1965-08-01,2.58302583
1965-09-01,2.387511478
1965-10-01,2.289377289
1965-11-01,2.472527473
1965-12-01,2.838827839
1966-01-01,2.641165756
1966-02-01,2.729754322
1966-03-01,2.631578947
1966-04-01,2.807971014
1966-05-01,2.890695574
1966-06-01,1.155555556
1966-07-01,2.421524664
1966-08-01,2.787769784
1966-09-01,2.780269058
1966-10-01,2.775290958
1966-11-01,2.859696157
1966-12-01,2.760463045
1967-01-01,2.839396628
1967-02-01,2.745792737
1967-03-01,2.829354553
1967-04-01,2.555066079
1967-05-01,2.370500439
1967-06-01,2.460456942
1967-07-01,2.364273205
1967-08-01,2.624671916
1967-09-01,2.705061082
1967-10-01,3.048780488
1967-11-01,3.562119896
1967-12-01,3.379549393
1968-01-01,3.96893874
1968-02-01,3.965517241
1968-03-01,3.783319003
1968-04-01,3.951890034
1968-05-01,4.116638079
1968-06-01,4.459691252
1968-07-01,4.533789564
1968-08-01,4.688832055
1968-09-01,5.012744265
1968-10-01,5.579036348
1968-11-01,5.117449664
1968-12-01,5.280804694
1969-01-01,5.394190871
1969-02-01,5.638474295
1969-03-01,6.048053024
1969-04-01,6.280991736
1969-05-01,6.425041186
1969-06-01,6.403940887
1969-07-01,6.546644845
1969-08-01,6.270358306
1969-09-01,6.148867314
1969-10-01,5.684547638
1969-11-01,5.826017558
1969-12-01,5.891719745
1970-01-01,5.590551181
1970-02-01,5.581577331
1970-03-01,5.407702375
1970-04-01,5.448477117
1970-05-01,5.382854179
1970-06-01,5.480365452
1970-07-01,5.204690199
1970-08-01,5.382691698
1970-09-01,5.238047784
1970-10-01,5.015321757
1970-11-01,4.953341437
1970-12-01,4.946661854
1971-01-01,4.698672114
1971-02-01,4.887983707
1971-03-01,4.974619289
1971-04-01,5.050505051
1971-05-01,5.331991952
1971-06-01,5.310621242
1971-07-01,5.6
1971-08-01,5.577689243
1971-09-01,5.654761905
1971-10-01,5.830039526
1971-11-01,5.807086614
1971-12-01,5.98626104
1972-01-01,5.658536585
1972-02-01,5.72815534
1972-03-01,5.80270793
1972-04-01,5.576923077
1972-05-01,5.444126074
1972-06-01,5.613701237
1972-07-01,5.965909091
1972-08-01,6.132075472
1972-09-01,6.291079812
1972-10-01,6.629318394
1972-11-01,6.88372093
1972-12-01,6.944444444
1973-01-01,6.648199446
1973-02-01,6.336088154
1973-03-01,6.398537477
1973-04-01,6.739526412
1973-05-01,7.155797101
1973-06-01,7.387387387
1973-07-01,7.417336908
1973-08-01,7.555555556
1973-09-01,7.862190813
1973-10-01,8.056042032
1973-11-01,8.355091384
1973-12-01,8.484848485
1974-01-01,10.3030303
1974-02-01,11.48531952
1974-03-01,12.19931271
1974-04-01,13.22525597
1974-05-01,13.5249366
1974-06-01,13.9261745
1974-07-01,14.39267887
1974-08-01,14.54545455
1974-09-01,14.74201474
1974-10-01,14.910859
1974-11-01,14.93975904
1974-12-01,15.16360734
1975-01-01,14.52119309
1975-02-01,13.86522076
1975-03-01,13.4762634
1975-04-01,12.66013564
1975-05-01,12.1370067
1975-06-01,11.7083947
1975-07-01,11.12727273
1975-08-01,10.96681097
1975-09-01,10.70663812
1975-10-01,10.22566996
1975-11-01,9.923130678
1975-12-01,9.632709633
1976-01-01,9.595613434
1976-02-01,9.523809524
1976-03-01,9.581646424
1976-04-01,9.565217391
1976-05-01,9.495351926
1976-06-01,9.162821358
1976-07-01,9.42408377
1976-08-01,9.492847854
1976-09-01,9.735654417
1976-10-01,9.916826615
1976-11-01,10.10807374
1976-12-01,9.860935525
1977-01-01,9.005628518
1977-02-01,9.00621118
1977-03-01,9.051724138
1977-04-01,9.523809524
1977-05-01,9.82413584
1977-06-01,10.20531401
1977-07-01,10.1076555
1977-08-01,9.916864608
1977-09-01,9.694477086
1977-10-01,9.545983702
1977-11-01,9.064665127
1977-12-01,8.975834292
1978-01-01,9.179575445
1978-02-01,9.230769231
1978-03-01,9.203839639
1978-04-01,8.974358974
1978-05-01,9.000552181
1978-06-01,8.98630137
1978-07-01,9.342748506
1978-08-01,9.400324149
1978-09-01,9.159078736
1978-10-01,9.298618491
1978-11-01,9.475913182
1978-12-01,9.714889124
1979-01-01,10.19442985
1979-02-01,10.11997913
1979-03-01,10.1344364
1979-04-01,10.02557545
1979-05-01,10.13171226
1979-06-01,10.20613374
1979-07-01,10.33283656
1979-08-01,10.81481481
1979-09-01,11.04023553
1979-10-01,11.3271755
1979-11-01,11.46034816
1979-12-01,11.79018287
1980-01-01,12.92322365
1980-02-01,13.36513521
1980-03-01,13.65210371
1980-04-01,13.94492859
1980-05-01,13.66448102
1980-06-01,13.53386954
1980-07-01,13.63600299
1980-08-01,13.59151651
1980-09-01,13.63755344
1980-10-01,13.50522441
1980-11-01,13.52998881
1980-12-01,13.73242558
1981-01-01,12.84501062
1981-02-01,12.71008403
1981-03-01,12.46105919
1981-04-01,12.61538462
1981-05-01,12.71617497
1981-06-01,13.03030303
1981-07-01,13.34661355
1981-08-01,13.60946746
1981-09-01,13.88074291
1981-10-01,14.11992263
1981-11-01,14.31316042
1981-12-01,13.89153187
1982-01-01,13.82878645
1982-02-01,13.88630009
1982-03-01,14.21975993
1982-04-01,13.93442623
1982-05-01,13.80866426
1982-06-01,13.49419124
1982-07-01,11.95079086
1982-08-01,10.9375
1982-09-01,10.12875536
1982-10-01,9.322033898
1982-11-01,9.411764706
1982-12-01,9.690893901
1983-01-01,9.58677686
1983-02-01,9.247135843
1983-03-01,8.973322555
1983-04-01,9.112709832
1983-05-01,8.961141951
1983-06-01,8.818897638
1983-07-01,9.419152276
1983-08-01,9.702660407
1983-09-01,10.13250195
1983-10-01,10.3875969
1983-11-01,9.831029186
1983-12-01,9.291698401
1984-01-01,8.974358974
1984-02-01,8.913857678
1984-03-01,8.605341246
1984-04-01,7.912087912
1984-05-01,7.787481805
1984-06-01,7.670043415
1984-07-01,7.460545194
1984-08-01,7.417974322
1984-09-01,7.077140835
1984-10-01,6.952247191
1984-11-01,6.853146853
1984-12-01,6.68989547
1985-01-01,6.505190311
1985-02-01,6.396148556
1985-03-01,6.420765027
1985-04-01,6.517311609
1985-05-01,6.482106685
1985-06-01,6.384408602
1985-07-01,6.074766355
1985-08-01,5.644090305
1985-09-01,5.287508262
1985-10-01,4.924491136
1985-11-01,4.777486911
1985-12-01,4.702808622
1986-01-01,4.223521767
1986-02-01,3.425985779
1986-03-01,2.952503209
1986-04-01,2.613129382
1986-05-01,2.346227013
1986-06-01,2.274162982
1986-07-01,2.013845186
1986-08-01,2.011313639
1986-09-01,2.259887006
1986-10-01,2.190237797
1986-11-01,2.123672705
1986-12-01,2.121023082
1987-01-01,2.992518703
1987-02-01,3.4375
1987-03-01,3.304239401
1987-04-01,3.47826087
1987-05-01,3.407682776
1987-06-01,3.273625695
1987-07-01,3.392967304
1987-08-01,3.512014787
1987-09-01,3.192142419
1987-10-01,3.184323331
1987-11-01,3.180428135
1987-12-01,3.115455101
1988-01-01,2.360774818
1988-02-01,2.356495468
1988-03-01,2.534701267
1988-04-01,2.460984394
1988-05-01,2.516476932
1988-06-01,2.631578947
1988-07-01,2.744630072
1988-08-01,2.797619048
1988-09-01,2.974419988
1988-10-01,2.96735905
1988-11-01,2.963841138
1988-12-01,3.08056872
1989-01-01,3.311649911
1989-02-01,3.423848878
1989-03-01,3.413772808
1989-04-01,3.573520797
1989-05-01,3.74050263
1989-06-01,3.554778555
1989-07-01,3.484320557
1989-08-01,3.358425014
1989-09-01,3.350664356
1989-10-01,3.573487032
1989-11-01,3.626943005
1989-12-01,3.563218391
1990-01-01,3.434459073
1990-02-01,3.35666624
1990-03-01,3.310284478
1990-04-01,3.23686611
1990-05-01,2.983006137
1990-06-01,2.851789663
1990-07-01,2.593738246
1990-08-01,3.091927527
1990-09-01,3.5913708
1990-10-01,3.58438074
1990-11-01,3.245483288
1990-12-01,3.055406001
1991-01-01,3.342366757
1991-02-01,3.395432692
1991-03-01,3.342326139
1991-04-01,3.085407661
1991-05-01,3.259413603
1991-06-01,3.527835665
1991-07-01,3.764880952
1991-08-01,3.208160852
1991-09-01,2.642395772
1991-10-01,2.718503362
1991-11-01,3.279168497
1991-12-01,3.017872839
1992-01-01,2.622377622
1992-02-01,2.789886661
1992-03-01,2.929659173
1992-04-01,2.834008097
1992-05-01,2.839434996
1992-06-01,2.530553559
1992-07-01,2.208518572
1992-08-01,2.034092537
1992-09-01,2.159610984
1992-10-01,1.920887877
1992-11-01,1.63004961
1992-12-01,1.905574516
1993-01-01,2.129471891
1993-02-01,2.049759683
1993-03-01,2.240383261
1993-04-01,2.151293588
1993-05-01,1.962158374
1993-06-01,1.96325901
1993-07-01,2.104672373
1993-08-01,2.162010389
1993-09-01,2.197956041
1993-10-01,2.094094653
1993-11-01,2.092050209
1993-12-01,2.10717276
1994-01-01,1.834862385
1994-02-01,1.773098767
1994-03-01,1.488423374
1994-04-01,1.637990365
1994-05-01,1.718213058
1994-06-01,1.732911566
1994-07-01,1.635289268
1994-08-01,1.621547341
1994-09-01,1.616438356
1994-10-01,1.65458772
1994-11-01,1.571038251
1994-12-01,1.585349187
1995-01-01,1.71990172
1995-02-01,1.742207704
1995-03-01,1.819663227
1995-04-01,1.665763814
1995-05-01,1.594594595
1995-06-01,1.635798297
1995-07-01,1.460248783
1995-08-01,1.960784314
1995-09-01,2.008627662
1995-10-01,1.89669088
1995-11-01,1.963685272
1995-12-01,2.085295305
1996-01-01,1.945786366
1996-02-01,2.02006689
1996-03-01,2.360629501
1996-04-01,2.357799387
1996-05-01,2.420856611
1996-06-01,2.301143921
1996-07-01,2.3054371
1996-08-01,1.618037135
1996-09-01,1.559402669
1996-10-01,1.716171617
1996-11-01,1.543332014
1996-12-01,1.660516605
1997-01-01,1.763854153
1997-02-01,1.586677157
1997-03-01,1.016286645
1997-04-01,0.937011973
1997-05-01,0.87012987
1997-06-01,0.962163568
1997-07-01,1.016021884
1997-08-01,1.474810754
1997-09-01,1.353285621
1997-10-01,1.038286827
1997-11-01,1.299038711
1997-12-01,1.140782992
1998-01-01,0.607942051
1998-02-01,0.774493352
1998-03-01,0.864181607
1998-04-01,1.031459515
1998-05-01,0.914123857
1998-06-01,1.017385705
1998-07-01,0.81237911
1998-08-01,0.617363344
1998-09-01,0.397997176
1998-10-01,0.39820167
1998-11-01,0.166709413
1998-12-01,0.217892848
1999-01-01,0.244278735
1999-02-01,0.179326246
1999-03-01,0.345268542
1999-04-01,0.421133231
1999-05-01,0.408267415
1999-06-01,0.318714941
1999-07-01,0.383729854
1999-08-01,0.485747156
1999-09-01,0.690537084
1999-10-01,0.806038895
1999-11-01,0.908974523
1999-12-01,1.253357207
2000-01-01,1.539053482
2000-02-01,1.355325406
2000-03-01,1.491015675
2000-04-01,1.20726903
2000-05-01,1.397712834
2000-06-01,1.664760452
2000-07-01,1.771151886
2000-08-01,1.793664928
2000-09-01,2.146304293
2000-10-01,1.954562762
2000-11-01,2.144125856
2000-12-01,1.642036125
2001-01-01,1.212580523
2001-02-01,1.362432194
2001-03-01,1.343545957
2001-04-01,1.833249623
2001-05-01,2.255639098
2001-06-01,2.0625
2001-07-01,2.015775635
2001-08-01,1.824543864
2001-09-01,1.491980604
2001-10-01,1.680567658
2001-11-01,1.179977643
2001-12-01,1.354542065
2002-01-01,2.258829402
2002-02-01,2.103298071
2002-03-01,2.093916491
2002-04-01,1.985203453
2002-05-01,1.482843137
2002-06-01,1.408450704
2002-07-01,1.620029455
2002-08-01,1.853215513
2002-09-01,1.849810119
2002-10-01,1.94662096
2002-11-01,2.221949423
2002-12-01,2.268268759
2003-01-01,1.989260434
2003-02-01,2.571916138
2003-03-01,2.536407767
2003-04-01,2.007012453
2003-05-01,1.763072093
2003-06-01,1.968599034
2003-07-01,1.859903382
2003-08-01,1.867694903
2003-09-01,2.068799615
2003-10-01,2.125615468
2003-11-01,2.245706737
2003-12-01,2.181992567
2004-01-01,1.986358741
2004-02-01,1.711229947
2004-03-01,1.704343709
2004-04-01,2.109754652
2004-05-01,2.610656224
2004-06-01,2.451735165
2004-07-01,2.395067584
2004-08-01,2.377572747
2004-09-01,2.085788357
2004-10-01,2.12841016
2004-11-01,2.067183463
2004-12-01,2.076733545
2005-01-01,1.513551566
2005-02-01,1.705806753
2005-03-01,1.943442337
2005-04-01,1.880441091
2005-05-01,1.572799815
2005-06-01,1.653179191
2005-07-01,1.667438629
2005-08-01,1.837088388
2005-09-01,2.135518873
2005-10-01,1.853770869
2005-11-01,1.588032221
2005-12-01,1.597701149
2006-01-01,2.057327785
2006-02-01,1.826536473
2006-03-01,1.47260274
2006-04-01,1.709012191
2006-05-01,2.072184903
2006-06-01,1.956101444
2006-07-01,1.936218679
2006-08-01,1.88336737
2006-09-01,1.265822785
2006-10-01,1.062627176
2006-11-01,1.38196647
2006-12-01,1.493381604
2007-01-01,1.245753114
2007-02-01,1.049187726
2007-03-01,1.192485094
2007-04-01,1.254620813
2007-05-01,1.070831009
2007-06-01,1.193530396
2007-07-01,1.106145251
2007-08-01,1.180400891
2007-09-01,1.517857143
2007-10-01,2.002237136
2007-11-01,2.446927374
2007-12-01,2.586110801
2008-01-01,2.818791946
2008-02-01,2.846935358
2008-03-01,3.179544191
2008-04-01,3.020245602
2008-05-01,3.321929147
2008-06-01,3.571428571
2008-07-01,3.613658968
2008-08-01,3.158705701
2008-09-01,2.979331574
2008-10-01,2.664765873
2008-11-01,1.625040899
2008-12-01,0.999674019
2009-01-01,0.707136641
2009-02-01,0.868432479
2009-03-01,0.301691628
2009-04-01,0.128865979
2009-05-01,-0.25635548
2009-06-01,-0.48957003
2009-07-01,-0.725255973
2009-08-01,-0.181372026
2009-09-01,-0.362976407
2009-10-01,-0.213629566
2009-11-01,0.397080919
2009-12-01,0.914470145
2010-01-01,1.101868856
2010-02-01,1.280671545
2010-03-01,1.589859276
