DATE,CLVMNACSCAB1GQFR
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,281259.2
1980-04-01,279211.8
1980-07-01,279652.1
1980-10-01,279103.4
1981-01-01,279999.5
1981-04-01,281938.1
1981-07-01,283796.3
1981-10-01,285466.4
1982-01-01,287853.3
1982-04-01,289804.5
1982-07-01,289779.2
1982-10-01,291504.1
1983-01-01,292717.5
1983-04-01,292775.8
1983-07-01,293078.1
1983-10-01,294870.0
1984-01-01,296076.5
1984-04-01,297305.0
1984-07-01,299405.9
1984-10-01,299190.2
1985-01-01,299983.1
1985-04-01,302685.2
1985-07-01,304258.1
1985-10-01,305570.2
1986-01-01,306644.5
1986-04-01,310048.0
1986-07-01,311542.6
1986-10-01,311871.7
1987-01-01,312336.7
1987-04-01,316889.2
1987-07-01,319127.0
1987-10-01,323713.0
1988-01-01,327662.7
1988-04-01,330445.0
1988-07-01,334706.3
1988-10-01,337622.3
1989-01-01,341618.1
1989-04-01,345651.5
1989-07-01,349400.2
1989-10-01,353989.3
1990-01-01,355487.0
1990-04-01,357298.2
1990-07-01,359102.2
1990-10-01,359066.8
1991-01-01,359535.8
1991-04-01,360972.1
1991-07-01,361758.0
1991-10-01,364257.4
1992-01-01,367085.9
1992-04-01,367366.9
1992-07-01,367201.0
1992-10-01,366494.8
1993-01-01,364094.5
1993-04-01,363978.1
1993-07-01,364631.5
1993-10-01,365457.3
1994-01-01,367899.4
1994-04-01,371630.1
1994-07-01,374799.2
1994-10-01,378272.7
1995-01-01,379493.5
1995-04-01,381870.2
1995-07-01,382505.9
1995-10-01,382517.9
1996-01-01,385206.7
1996-04-01,385630.4
1996-07-01,387611.7
1996-10-01,388614.9
1997-01-01,389965.2
1997-04-01,393864.6
1997-07-01,397717.8
1997-10-01,401666.8
1998-01-01,405422.2
1998-04-01,408672.2
1998-07-01,411710.9
1998-10-01,414413.6
1999-01-01,418851.7
1999-04-01,420021.2
1999-07-01,424614.1
1999-10-01,430694.2
2000-01-01,435215.6
2000-04-01,439682.9
2000-07-01,442679.6
2000-10-01,446332.0
2001-01-01,448613.8
2001-04-01,449130.4
2001-07-01,450292.2
2001-10-01,450005.6
2002-01-01,452584.3
2002-04-01,454463.4
2002-07-01,455520.9
2002-10-01,456588.7
2003-01-01,457075.7
2003-04-01,456074.3
2003-07-01,459100.0
2003-10-01,462236.8
2004-01-01,466775.0
2004-04-01,469499.3
2004-07-01,470771.1
2004-10-01,474298.9
2005-01-01,475419.7
2005-04-01,476732.3
2005-07-01,479291.0
2005-10-01,482515.3
2006-01-01,486293.0
2006-04-01,491325.0
2006-07-01,491622.0
2006-10-01,495252.4
2007-01-01,498883.6
2007-04-01,502257.9
2007-07-01,504572.3
2007-10-01,505542.3
2008-01-01,508065.8
2008-04-01,505292.8
2008-07-01,504303.1
2008-10-01,496749.5
2009-01-01,488349.8
2009-04-01,488286.6
2009-07-01,489091.4
2009-10-01,492549.9
2010-01-01,494326.5
2010-04-01,496702.0
2010-07-01,499767.2
2010-10-01,503145.1
2011-01-01,508401.1
2011-04-01,507914.2
2011-07-01,510374.2
2011-10-01,511357.2
2012-01-01,511501.1
2012-04-01,510730.2
2012-07-01,511882.0
2012-10-01,511337.7
2013-01-01,511695.3
2013-04-01,515132.3
2013-07-01,514571.3
2013-10-01,517998.2
2014-01-01,518038.5
2014-04-01,518505.9
2014-07-01,521435.1
2014-10-01,521256.2
2015-01-01,524008.4
2015-04-01,524633.7
2015-07-01,525785.0
2015-10-01,526831.6
2016-01-01,530132.4
2016-04-01,528570.8
2016-07-01,530031.0
2016-10-01,533176.7
2017-01-01,537153.9
2017-04-01,541370.3
2017-07-01,545975.7
2017-10-01,549354.3
2018-01-01,549706.1
2018-04-01,552047.6
2018-07-01,554151.7
2018-10-01,557571.8
2019-01-01,561330.2
2019-04-01,565101.9
2019-07-01,565142.0
2019-10-01,563596.9
2020-01-01,532097.9
2020-04-01,460029.2
2020-07-01,544862.1
2020-10-01,539976.6
2021-01-01,540224.6
2021-04-01,545808.4
2021-07-01,564283.4
2021-10-01,567179.6
2022-01-01,565767.7
2022-04-01,568807.5
