DATE,XTIMVA01FRM667S
1970-01-01,1431040691.0
1970-02-01,1424500911.0
1970-03-01,1424989628.0
1970-04-01,1506272369.0
1970-05-01,1368245690.0
1970-06-01,1539255637.0
1970-07-01,1502319345.0
1970-08-01,1563897793.0
1970-09-01,1538071434.0
1970-10-01,1523644000.0
1970-11-01,1648003189.0
1970-12-01,1587448168.0
1971-01-01,1549528003.0
1971-02-01,1527490848.0
1971-03-01,1602429297.0
1971-04-01,1577335098.0
1971-05-01,1537988311.0
1971-06-01,1650715539.0
1971-07-01,1716752208.0
1971-08-01,1683557844.0
1971-09-01,1745272767.0
1971-10-01,1745314561.0
1971-11-01,1781002877.0
1971-12-01,1751776075.0
1972-01-01,1889425865.0
1972-02-01,1999606995.0
1972-03-01,2000992063.0
1972-04-01,2035331481.0
1972-05-01,2179533214.0
1972-06-01,1993619143.0
1972-07-01,2047971217.0000002
1972-08-01,2076323676.0
1972-09-01,2176223776.0
1972-10-01,2201473223.0
1972-11-01,2278009122.0
1972-12-01,2381195909.0
1973-01-01,2329039237.0
1973-02-01,2473715076.0
1973-03-01,2639283180.0
1973-04-01,2504062898.0
1973-05-01,2832599808.0
1973-06-01,3084320918.0
1973-07-01,3156895617.0
1973-08-01,3193823266.0
1973-09-01,3226987816.0
1973-10-01,3349532976.0
1973-11-01,3313982494.0
1973-12-01,3017658941.0
1974-01-01,3455350200.0
1974-02-01,3654641150.0
1974-03-01,3969234597.0
1974-04-01,4142286960.0
1974-05-01,4205926505.0
1974-06-01,4166258870.0
1974-07-01,4515500220.0
1974-08-01,4515886130.0
1974-09-01,4306183227.0
1974-10-01,4205666715.9999995
1974-11-01,4272425959.9999995
1974-12-01,4296202924.0
1975-01-01,4361110475.0
1975-02-01,4358399851.0
1975-03-01,4334158887.0
1975-04-01,4224117395.0000005
1975-05-01,4099299181.0
1975-06-01,4408510851.0
1975-07-01,4348001137.0
1975-08-01,3990130903.0
1975-09-01,4047507213.0000005
1975-10-01,4381693592.0
1975-11-01,4490626065.0
1975-12-01,4605003587.0
1976-01-01,4706947020.0
1976-02-01,4800196894.0
1976-03-01,4681734617.0
1976-04-01,4903107000.0
1976-05-01,5032426800.0
1976-06-01,4977940090.0
1976-07-01,5091344962.0
1976-08-01,5173171076.0
1976-09-01,5427635594.0
1976-10-01,5553262264.0
1976-11-01,5557136559.0
1976-12-01,5402766640.0
1977-01-01,5592224413.0
1977-02-01,5483248976.0
