DATE,CLVMNACSCAB1GQDE
1991-01-01,513641.1
1991-04-01,510922.6
1991-07-01,509807.4
1991-10-01,516359.5
1992-01-01,524218.3
1992-04-01,520245.4
1992-07-01,519339.3
1992-10-01,517666.5
1993-01-01,513850.2
1993-04-01,513710.8
1993-07-01,516847.4
1993-10-01,516429.2
1994-01-01,523538.9
1994-04-01,524793.5
1994-07-01,528487.8
1994-10-01,534761.1
1995-01-01,532948.8
1995-04-01,536852.1
1995-07-01,537758.3
1995-10-01,538037.1
1996-01-01,533645.8
1996-04-01,540825.2
1996-07-01,542637.5
1996-10-01,546749.9
1997-01-01,543892.2
1997-04-01,550932.2
1997-07-01,552605.0
1997-10-01,556787.1
1998-01-01,562014.9
1998-04-01,559575.3
1998-07-01,562224.0
1998-10-01,559923.8
1999-01-01,566388.9
1999-04-01,566388.9
1999-07-01,572731.7
1999-10-01,577401.6
2000-01-01,585661.5
2000-04-01,590401.5
2000-07-01,590122.7
2000-10-01,588380.0
2001-01-01,600281.8
2001-04-01,600003.0
2001-07-01,598748.3
2001-10-01,598260.4
2002-01-01,595193.5
2002-04-01,597772.5
2002-07-01,600560.6
2002-10-01,599793.9
2003-01-01,590924.3
2003-04-01,591551.6
2003-07-01,596082.1
2003-10-01,597755.0
2004-01-01,596709.6
2004-04-01,599776.4
2004-07-01,598521.8
2004-10-01,597964.2
2005-01-01,597981.6
2005-04-01,601187.9
2005-07-01,606276.3
2005-10-01,609134.1
2006-01-01,614989.2
2006-04-01,625584.0
2006-07-01,630463.2
2006-10-01,640012.5
2007-01-01,640413.4
2007-04-01,645780.5
2007-07-01,649126.1
2007-10-01,653308.2
2008-01-01,657490.4
2008-04-01,655887.3
2008-07-01,651705.2
2008-10-01,641319.7
2009-01-01,611277.6
2009-04-01,612253.4
2009-07-01,615668.7
2009-10-01,620199.3
2010-01-01,625235.5
2010-04-01,639315.4
2010-07-01,644543.2
2010-10-01,649770.9
2011-01-01,662369.8
2011-04-01,662997.1
2011-07-01,668852.0
2011-10-01,666691.3
2012-01-01,668085.4
2012-04-01,669479.4
2012-07-01,671361.3
2012-10-01,668364.2
2013-01-01,665314.7
2013-04-01,672424.3
2013-07-01,676188.3
2013-10-01,678140.0
2014-01-01,684744.4
2014-04-01,684744.4
2014-07-01,688229.5
2014-10-01,693805.6
2015-01-01,690251.1
2015-04-01,695339.2
2015-07-01,698475.8
2015-10-01,701542.6
2016-01-01,707432.6
2016-04-01,710569.3
2016-07-01,712381.6
2016-10-01,714960.7
2017-01-01,723569.1
2017-04-01,729702.8
2017-07-01,735069.9
2017-10-01,741761.2
2018-01-01,737457.2
2018-04-01,742684.9
2018-07-01,736829.9
2018-10-01,742685.0
2019-01-01,747999.8
2019-04-01,746745.1
2019-07-01,747581.6
2019-10-01,749533.3
2020-01-01,738869.2
2020-04-01,668816.0
2020-07-01,729040.9
2020-10-01,733571.7
2021-01-01,722802.5
2021-04-01,736742.8
2021-07-01,742527.9
2021-10-01,742318.9
2022-01-01,748243.5
2022-04-01,749289.0
