DATE,XTIMVA01DEM667S
1960-01-01,787769485.0
1960-02-01,834730570.0
1960-03-01,839454285.0
1960-04-01,834764596.0
1960-05-01,844143973.0
1960-06-01,886425564.0
1960-07-01,862937904.0
1960-08-01,848833662.0
1960-09-01,816005841.0
1960-10-01,871918327.0
1960-11-01,853345336.0
1960-12-01,904921153.0
1961-01-01,862542861.0
1961-02-01,834346471.0
1961-03-01,890615142.0
1961-04-01,935893387.0
1961-05-01,940781232.0
1961-06-01,930264771.0
1961-07-01,918996050.0
1961-08-01,916033737.0
1961-09-01,924832548.0
1961-10-01,968755854.0
1961-11-01,928536411.0
1961-12-01,1002523279.0
1962-01-01,983904088.0
1962-02-01,1100638656.0
1962-03-01,1002844240.0
1962-04-01,978149756.0
1962-05-01,1036963207.0000001
1962-06-01,1028412501.9999999
1962-07-01,1035165542.0000001
1962-08-01,1022739365.9999999
1962-09-01,1031535279.0000001
1962-10-01,981349724.0
1962-11-01,1058787851.0
1962-12-01,1170056370.0
1963-01-01,971701482.0
1963-02-01,1031081675.9999999
1963-03-01,1140320069.0
1963-04-01,1111932223.0
1963-05-01,1104115389.0
1963-06-01,1144785981.0
1963-07-01,1114771634.0
1963-08-01,1129144233.0
1963-09-01,1154612471.0
1963-10-01,1081601227.0
1963-11-01,1092172476.0
1963-12-01,1122181807.0
1964-01-01,1126341193.0
1964-02-01,1166663420.0
1964-03-01,1176227438.0
1964-04-01,1166246603.0
1964-05-01,1195723699.0
1964-06-01,1166478457.0
1964-07-01,1254771783.0
1964-08-01,1264260066.0
1964-09-01,1249602743.0
1964-10-01,1313766982.0
1964-11-01,1337837574.0
1964-12-01,1367403717.0
1965-01-01,1484624081.0
1965-02-01,1356917903.0
1965-03-01,1386803065.0
1965-04-01,1396916027.0
1965-05-01,1457838320.0
1965-06-01,1442597737.0
1965-07-01,1484052606.0
1965-08-01,1462353827.0
1965-09-01,1536149170.0
1965-10-01,1528476704.0
1965-11-01,1525364356.0
1965-12-01,1490843305.0
1966-01-01,1535655229.0
1966-02-01,1519688999.0
1966-03-01,1530044073.0
1966-04-01,1514697490.0
1966-05-01,1504473380.0
1966-06-01,1489112765.0
1966-07-01,1513660025.0
1966-08-01,1504461998.0
1966-09-01,1485630423.0
1966-10-01,1581306018.0
1966-11-01,1490431650.0
1966-12-01,1437408095.0
1967-01-01,1440670007.0
1967-02-01,1397970755.0
1967-03-01,1407649109.0
1967-04-01,1402836696.0
1967-05-01,1421395230.0
1967-06-01,1429811635.0
1967-07-01,1437305081.0
1967-08-01,1465992904.0
1967-09-01,1471055968.0
1967-10-01,1494655508.0
1967-11-01,1569171445.0
1967-12-01,1653980934.0
1968-01-01,1572807430.0
1968-02-01,1607834101.0
1968-03-01,1608078189.0
1968-04-01,1634283495.0
1968-05-01,1606501827.0
1968-06-01,1625415368.0
1968-07-01,1756374195.0
1968-08-01,1754544730.0
1968-09-01,1752244754.0
1968-10-01,1798175232.0
1968-11-01,1820214203.0
1968-12-01,1875102669.0
1969-01-01,1983422039.0
1969-02-01,1834595820.0
1969-03-01,1975561283.0
1969-04-01,2042583748.0000002
1969-05-01,2049154784.0000002
1969-06-01,2048076541.0
1969-07-01,2063565735.0
1969-08-01,2114405506.9999998
1969-09-01,2161852576.0
1969-10-01,2327370605.0
1969-11-01,2242109786.0
1969-12-01,2271123495.0
1970-01-01,2456393029.0
1970-02-01,2348883590.0
1970-03-01,2460029566.0
1970-04-01,2448949640.0
1970-05-01,2551574106.0
1970-06-01,2482004102.0
1970-07-01,2472052788.0
1970-08-01,2498981468.0
1970-09-01,2558224563.0
1970-10-01,2552276574.0
1970-11-01,2639664794.0
1970-12-01,2640185365.0
1971-01-01,2608203552.0
1971-02-01,2871141170.0
1971-03-01,2725332470.0
1971-04-01,2776898660.0
1971-05-01,2752209276.0
1971-06-01,2901444846.0
1971-07-01,2999463584.0
1971-08-01,2862748829.0
1971-09-01,2944510503.0
1971-10-01,3010778593.0
1971-11-01,2965158061.0
1971-12-01,3038414801.0
1972-01-01,3043881467.0
1972-02-01,3252556950.0
1972-03-01,3300848738.0
1972-04-01,3298693770.0
1972-05-01,3431928113.0
1972-06-01,3304933417.0
1972-07-01,3291684783.0
1972-08-01,3345660232.0
1972-09-01,3448582180.0
1972-10-01,3464020705.0
1972-11-01,3558829245.0
1972-12-01,3553274640.0
1973-01-01,3707792592.0
1973-02-01,4075592262.0
1973-03-01,4138255574.0000005
1973-04-01,4137279650.0
1973-05-01,4431363591.0
1973-06-01,4657460518.0
1973-07-01,4982472102.0
1973-08-01,4725278829.0
1973-09-01,4993436874.0
1973-10-01,5284712640.0
1973-11-01,5076431697.0
1973-12-01,4845094241.0
1974-01-01,5031566934.0
1974-02-01,4793170997.0
1974-03-01,5546651353.0
1974-04-01,5725325292.0
1974-05-01,6204066569.0
1974-06-01,6097683358.0
1974-07-01,6053540589.0
1974-08-01,6290812362.0
1974-09-01,5835885081.0
1974-10-01,5938189923.0
1974-11-01,6316405998.0
1974-12-01,6262038298.0
1975-01-01,5958562621.0
1975-02-01,6402914848.0
1975-03-01,6267766616.0
1975-04-01,6507078122.0
1975-05-01,6326583528.0
1975-06-01,6408311376.0
1975-07-01,6013428542.0
1975-08-01,6057813268.0
1975-09-01,6108230543.0
1975-10-01,6300568809.0
1975-11-01,6268637425.0
1975-12-01,6591763773.0
1976-01-01,6513673453.0
1976-02-01,6829858287.0
1976-03-01,6766651876.0
1976-04-01,7185562756.0
1976-05-01,6933619867.0
1976-06-01,7049334898.0
1976-07-01,7286023268.0
1976-08-01,7781550247.0
1976-09-01,7536312114.0
1976-10-01,7844861217.0
1976-11-01,7776611675.0
1976-12-01,8237146357.0
1977-01-01,7868140593.0
1977-02-01,7923873466.0
1977-03-01,8121008529.999999
1977-04-01,8101900084.0
1977-05-01,7994149332.0
1977-06-01,8438607440.0
1977-07-01,8775337054.0
1977-08-01,8421345325.000001
1977-09-01,8560702000.999999
1977-10-01,8656318946.0
1977-11-01,8875062957.0
1977-12-01,9207006785.0
1978-01-01,9335924666.0
1978-02-01,9377654443.0
1978-03-01,9582874262.0
1978-04-01,9897479008.0
1978-05-01,9365188259.0
1978-06-01,9554368924.0
1978-07-01,9865809134.0
1978-08-01,10017594200.0
1978-09-01,10697030640.0
1978-10-01,11364312250.0
1978-11-01,11190557820.0
1978-12-01,11239446230.0
1979-01-01,11480607820.0
1979-02-01,11656009740.0
1979-03-01,12199617140.0
1979-04-01,12023333600.0
1979-05-01,12567994020.0
1979-06-01,12912719860.0
1979-07-01,14130263330.0
1979-08-01,13822837880.0
1979-09-01,14034815530.0
1979-10-01,14624458140.0
1979-11-01,14961669190.0
1979-12-01,15881249370.0
1980-01-01,16118979410.000002
1980-02-01,16745388200.0
1980-03-01,15122887180.0
1980-04-01,15157421170.0
1980-05-01,16432424560.000002
1980-06-01,16184194360.0
1980-07-01,16050476250.0
1980-08-01,15539620830.0
1980-09-01,15682923840.0
1980-10-01,15327754670.0
1980-11-01,15100532950.0
1980-12-01,14860813670.0
1981-01-01,14697213630.0
1981-02-01,13958499770.0
1981-03-01,15029849870.0
1981-04-01,13683841380.0
1981-05-01,13339277790.0
1981-06-01,13109089030.0
1981-07-01,12841672450.0
1981-08-01,12823063880.0
1981-09-01,13168391830.0
1981-10-01,13850969990.0
1981-11-01,14389541410.0
1981-12-01,13249589990.0
1982-01-01,14292636670.0
1982-02-01,13488482760.0
1982-03-01,13203291210.0
1982-04-01,13465140440.0
1982-05-01,13617556350.0
1982-06-01,12770827020.0
1982-07-01,12401469740.0
1982-08-01,12496786640.0
1982-09-01,12398362760.0
1982-10-01,12458353290.0
1982-11-01,12178488240.0
1982-12-01,12305800990.0
1983-01-01,12961355090.0
1983-02-01,12546986110.0
1983-03-01,12719921010.0
1983-04-01,12873736550.0
1983-05-01,12837586000.0
1983-06-01,12772767350.0
1983-07-01,12372739150.0
1983-08-01,12082234540.0
1983-09-01,12830162690.0
1983-10-01,12603218420.0
1983-11-01,12942188900.0
1983-12-01,12590935880.0
1984-01-01,12488766250.0
1984-02-01,13279612410.0
1984-03-01,13469260250.0
1984-04-01,13629993560.0
1984-05-01,12868613040.0
1984-06-01,12767521140.0
1984-07-01,12791365640.0
1984-08-01,12796352420.0
1984-09-01,12484709440.0
1984-10-01,11600868860.0
1984-11-01,12486664100.0
1984-12-01,12552163010.0
1985-01-01,12653700370.0
1985-02-01,12033505790.0
1985-03-01,12168766300.0
