DATE,CPALTT01ITM659N
1960-01-01,2.488888889
1960-02-01,2.402135231
1960-03-01,2.497769848
1960-04-01,2.591599643
1960-05-01,2.31316726
1960-06-01,2.404274265
1960-07-01,3.217158177
1960-08-01,3.11942959
1960-09-01,2.664298401
1960-10-01,1.58172232
1960-11-01,1.57480315
1960-12-01,1.39494333
1961-01-01,1.300954033
1961-02-01,1.476976542
1961-03-01,1.740644038
1961-04-01,2.003484321
1961-05-01,2.086956522
1961-06-01,2.086956522
1961-07-01,1.904761905
1961-08-01,1.901469317
1961-09-01,2.162629758
1961-10-01,2.422145329
1961-11-01,2.670111972
1961-12-01,2.837489252
1962-01-01,2.825342466
1962-02-01,3.424657534
1962-03-01,3.934987169
1962-04-01,4.611443211
1962-05-01,4.344122658
1962-06-01,4.68483816
1962-07-01,5.097706032
1962-08-01,5.004240882
1962-09-01,5.16511431
1962-10-01,5.320945946
1962-11-01,5.285234899
1962-12-01,6.52173913
1963-01-01,7.243963364
1963-02-01,8.112582781
1963-03-01,7.818930041
1963-04-01,7.591836735
1963-05-01,7.591836735
1963-06-01,7.404393816
1963-07-01,6.628940986
1963-08-01,6.946688207
1963-09-01,7.32689211
1963-10-01,8.099438653
1963-11-01,7.80876494
1963-12-01,6.907378336
1964-01-01,6.52173913
1964-02-01,5.206738132
1964-03-01,5.190839695
1964-04-01,4.704097117
1964-05-01,5.614567527
1964-06-01,6.136363636
1964-07-01,6.823351024
1964-08-01,6.722054381
1964-09-01,6.451612903
1964-10-01,5.712166172
1964-11-01,6.060606061
1964-12-01,5.800293686
1965-01-01,5.539358601
1965-02-01,5.604075691
1965-03-01,5.515239478
1965-04-01,5.507246377
1965-05-01,4.813218391
1965-06-01,4.425410421
1965-07-01,4.400283889
1965-08-01,4.246284501
1965-09-01,4.087385483
1965-10-01,3.649122807
1965-11-01,3.275261324
1965-12-01,3.331020125
1966-01-01,3.107734807
1966-02-01,2.894555479
1966-03-01,2.613480055
1966-04-01,2.747252747
1966-05-01,2.673063742
1966-06-01,2.392344498
1966-07-01,1.903467029
1966-08-01,1.900882553
1966-09-01,1.692620176
1966-10-01,1.82802979
1966-11-01,2.091767881
1966-12-01,2.350570853
1967-01-01,3.054950882
1967-02-01,3.356575128
1967-03-01,3.627066577
1967-04-01,3.450328654
1967-05-01,3.612828215
1967-06-01,3.913445705
1967-07-01,4.044401823
1967-08-01,4.10577948
1967-09-01,4.536162894
1967-10-01,4.297345966
1967-11-01,3.776151135
1967-12-01,3.027110674
1968-01-01,2.243902439
1968-02-01,1.945525292
1968-03-01,1.844660194
1968-04-01,1.93986421
1968-05-01,1.740812379
1968-06-01,1.350048216
1968-07-01,0.962463908
1968-08-01,0.768491835
1968-09-01,0.382409178
1968-10-01,0.574162679
1968-11-01,0.669216061
1968-12-01,0.956022945
1969-01-01,1.049618321
1969-02-01,1.240458015
1969-03-01,1.525262154
1969-04-01,1.712654615
1969-05-01,1.901140684
1969-06-01,2.378686965
1969-07-01,3.145853194
1969-08-01,3.431839847
1969-09-01,3.523809524
1969-10-01,3.710751665
1969-11-01,4.08357075
1969-12-01,4.166666667
1970-01-01,4.343720491
1970-02-01,4.995287465
1970-03-01,4.976525822
1970-04-01,5.051449953
1970-05-01,5.223880597
1970-06-01,5.018587361
1970-07-01,4.621072089
1970-08-01,4.516129032
1970-09-01,4.967801288
1970-10-01,5.137614679
1970-11-01,5.383211679
1970-12-01,5.363636364
1971-01-01,5.217156863
1971-02-01,4.773601137
1971-03-01,4.80377907
1971-04-01,4.639581478
1971-05-01,4.777925532
1971-06-01,4.692662242
1971-07-01,4.807714959
1971-08-01,4.822530864
1971-09-01,4.873977505
1971-10-01,4.910340314
1971-11-01,4.582936508
1971-12-01,4.612704918
1972-01-01,4.673807205
1972-02-01,4.849660524
1972-03-01,4.734299517
1972-04-01,4.624277457
1972-05-01,4.980842912
1972-06-01,5.454545455
1972-07-01,5.534351145
1972-08-01,6.0
1972-09-01,6.338694418
1972-10-01,6.967984934
1972-11-01,7.310215558
1972-12-01,7.376283847
1973-01-01,8.093023256
1973-02-01,8.695652174
1973-03-01,9.594095941
1973-04-01,10.49723757
1973-05-01,11.13138686
1973-06-01,11.52450091
1973-07-01,11.75406872
1973-08-01,11.76999102
1973-09-01,11.29893238
1973-10-01,11.00352113
1973-11-01,11.44104803
1973-12-01,12.52173913
1974-01-01,13.16695353
1974-02-01,14.29787234
1974-03-01,15.99326599
1974-04-01,16.25
1974-05-01,16.17405583
1974-06-01,16.76159479
1974-07-01,18.44660194
1974-08-01,20.25723473
1974-09-01,23.02158273
1974-10-01,24.34575734
1974-11-01,25.23510972
1974-12-01,24.49768161
1975-01-01,24.10646388
1975-02-01,23.30603127
1975-03-01,20.31930334
1975-04-01,20.43010753
1975-05-01,19.71731449
1975-06-01,18.95470383
1975-07-01,17.07650273
1975-08-01,15.30748663
1975-09-01,12.99545159
1975-10-01,12.11734694
1975-11-01,11.2640801
1975-12-01,11.2352576
1976-01-01,10.96813725
1976-02-01,11.77536232
1976-03-01,13.8721351
1976-04-01,15.35714286
1976-05-01,16.70602125
1976-06-01,16.34446397
1976-07-01,16.45274212
1976-08-01,16.98550725
1976-09-01,17.99884991
1976-10-01,20.07963595
1976-11-01,21.31608549
1976-12-01,20.50153925
1977-01-01,20.78154335
1977-02-01,20.43776337
1977-03-01,19.55874823
1977-04-01,17.91719986
1977-05-01,17.00563986
1977-06-01,17.28006882
1977-07-01,17.3930486
1977-08-01,17.2021143
1977-09-01,16.72039068
1977-10-01,14.9722288
1977-11-01,13.63165276
1977-12-01,14.06105458
1978-01-01,13.51598174
1978-02-01,12.54480287
1978-03-01,12.56637168
1978-04-01,12.23776224
1978-05-01,11.91709845
1978-06-01,12.09262436
1978-07-01,12.10571185
1978-08-01,11.65540541
1978-09-01,12.01000834
1978-10-01,11.52263374
1978-11-01,11.57294214
1978-12-01,11.59772912
1979-01-01,12.55028158
1979-02-01,13.05732484
1979-03-01,13.12893082
1979-04-01,13.47352025
1979-05-01,13.65740741
1979-06-01,13.61897475
1979-07-01,13.91634981
1979-08-01,14.67473525
1979-09-01,15.78555473
1979-10-01,16.900369
1979-11-01,17.3119065
1979-12-01,18.82267442
1980-01-01,20.58613295
1980-02-01,20.84507042
1980-03-01,20.50034746
1980-04-01,20.93342485
1980-05-01,20.84181942
1980-06-01,20.94276094
1980-07-01,22.0293725
1980-08-01,22.03166227
1980-09-01,21.35048232
1980-10-01,21.1489899
1980-11-01,21.98007472
1980-12-01,19.55133028
1981-01-01,18.02998913
1981-02-01,18.26880342
1981-03-01,18.72514418
1981-04-01,18.39218218
1981-05-01,19.04054775
1981-06-01,19.30110431
1981-07-01,17.91156546
1981-08-01,17.59455856
1981-09-01,16.93300212
1981-10-01,16.9803283
1981-11-01,16.64136464
1981-12-01,18.11391223
1982-01-01,17.59853346
1982-02-01,17.08633094
1982-03-01,16.40070922
1982-04-01,15.83552056
1982-05-01,15.33161068
1982-06-01,15.24701874
1982-07-01,16.00338696
1982-08-01,17.03020134
1982-09-01,17.12158809
1982-10-01,17.07317073
1982-11-01,16.61341853
1982-12-01,16.44268775
1983-01-01,16.21200312
1983-02-01,16.05222734
1983-03-01,16.14623001
1983-04-01,16.3897281
1983-05-01,16.05675878
1983-06-01,15.5210643
1983-07-01,15.03649635
1983-08-01,13.5483871
1983-09-01,13.34745763
1983-10-01,13.125
1983-11-01,12.80821918
1983-12-01,12.28784793
1984-01-01,12.27364185
1984-02-01,12.11118465
1984-03-01,11.86885246
1984-04-01,11.55094095
1984-05-01,11.32561133
1984-06-01,11.3243762
1984-07-01,10.65989848
1984-08-01,10.66919192
1984-09-01,10.09345794
1984-10-01,9.515039902
1984-11-01,9.168184578
1984-12-01,9.371221282
1985-01-01,9.255864198
1985-02-01,9.314118457
1985-03-01,9.437661196
1985-04-01,9.385030056
1985-05-01,9.459585742
1985-06-01,9.486772031
1985-07-01,9.453908639
1985-08-01,9.109098688
1985-09-01,8.890860215
1985-10-01,8.920020553
1985-11-01,8.918715239
1985-12-01,8.887645108
1986-01-01,8.220603538
1986-02-01,7.297019527
1986-03-01,6.931702345
1986-04-01,6.376518219
1986-05-01,6.130653266
1986-06-01,5.694305694
1986-07-01,5.483549352
1986-08-01,5.572139303
1986-09-01,5.242334322
1986-10-01,4.701273262
1986-11-01,4.373177843
1986-12-01,4.154589372
1987-01-01,4.230769231
1987-02-01,4.406130268
1987-03-01,4.194470925
1987-04-01,4.376784015
1987-05-01,4.356060606
1987-06-01,4.536862004
1987-07-01,4.725897921
1987-08-01,4.806786051
1987-09-01,5.169172932
1987-10-01,5.519176801
1987-11-01,5.400372439
1987-12-01,5.194805195
1988-01-01,5.166051661
1988-02-01,5.04587156
1988-03-01,5.215004575
1988-04-01,5.104831358
1988-05-01,4.99092559
1988-06-01,4.972875226
1988-07-01,4.963898917
1988-08-01,5.035971223
1988-09-01,4.91510277
1988-10-01,4.787234043
1988-11-01,5.123674912
1988-12-01,5.379188713
1989-01-01,5.526315789
1989-02-01,5.938864629
1989-03-01,6.086956522
1989-04-01,6.331309627
1989-05-01,6.482281763
1989-06-01,6.546080965
1989-07-01,6.534823732
1989-08-01,6.335616438
1989-09-01,6.303236797
1989-10-01,6.429780034
1989-11-01,6.302521008
1989-12-01,6.276150628
1990-01-01,6.566916043
1990-02-01,6.512778236
1990-03-01,6.31147541
1990-04-01,6.199021207
1990-05-01,6.006493506
1990-06-01,6.06305578
1990-07-01,6.214689266
1990-08-01,6.682769726
1990-09-01,6.730769231
1990-10-01,6.756756757
1990-11-01,6.798418972
1990-12-01,6.614173228
1991-01-01,6.276703068
1991-02-01,6.27002064
1991-03-01,6.469904909
1991-04-01,6.465847414
1991-05-01,6.543338438
1991-06-01,6.558257114
1991-07-01,6.634878419
1991-08-01,6.20890566
1991-09-01,6.14537037
1991-10-01,5.766542566
1991-11-01,5.822970639
1991-12-01,5.880452979
1992-01-01,5.899419729
1992-02-01,5.6621881
1992-03-01,5.534351145
1992-04-01,5.513307985
1992-05-01,5.587121212
1992-06-01,5.372290292
1992-07-01,5.164319249
1992-08-01,5.149812734
1992-09-01,4.846225536
1992-10-01,4.823747681
1992-11-01,4.884792627
1992-12-01,4.871323529
1993-01-01,4.748858447
1993-02-01,4.541326067
1993-03-01,4.430379747
1993-04-01,4.504504505
1993-05-01,4.394618834
1993-06-01,4.740608229
1993-07-01,4.910714286
1993-08-01,4.719501336
1993-09-01,4.8
1993-10-01,4.867256637
1993-11-01,4.481546573
1993-12-01,4.382120947
1994-01-01,4.359197908
1994-02-01,4.430929626
1994-03-01,4.329004329
1994-04-01,4.051724138
1994-05-01,4.295532646
1994-06-01,3.842869342
1994-07-01,3.744680851
1994-08-01,3.826530612
1994-09-01,3.901611535
1994-10-01,3.88185654
1994-11-01,3.952901598
1994-12-01,4.0302267
1995-01-01,3.926482874
1995-02-01,4.242928453
1995-03-01,4.89626556
1995-04-01,5.136702568
1995-05-01,5.189456343
1995-06-01,5.674342105
1995-07-01,5.578342904
1995-08-01,5.733005733
1995-09-01,5.632653061
1995-10-01,5.523964257
1995-11-01,5.663430421
1995-12-01,5.569007264
1996-01-01,5.58159164
1996-02-01,5.232290503
1996-03-01,4.722009494
1996-04-01,4.713301812
1996-05-01,4.458684417
1996-06-01,4.007797665
1996-07-01,3.746604507
1996-08-01,3.524415182
1996-09-01,3.383431221
1996-10-01,3.084141647
1996-11-01,2.924088821
1996-12-01,2.864678899
1997-01-01,2.731707317
1997-02-01,2.429543246
1997-03-01,2.323330106
1997-04-01,2.025072324
1997-05-01,1.921229587
1997-06-01,1.725790988
1997-07-01,1.823416507
1997-08-01,1.821668265
1997-09-01,1.819923372
1997-10-01,2.009569378
1997-11-01,2.001906578
1997-12-01,1.904761905
1998-01-01,1.899335233
1998-02-01,2.087286528
1998-03-01,2.081362346
1998-04-01,2.079395085
1998-05-01,1.979264844
1998-06-01,2.073515551
1998-07-01,2.073515551
1998-08-01,2.071563089
1998-09-01,1.975540922
1998-10-01,1.876172608
1998-11-01,1.588785047
1998-12-01,1.682242991
1999-01-01,1.491146319
1999-02-01,1.394052045
1999-03-01,1.297497683
1999-04-01,1.481481481
1999-05-01,1.478743068
1999-06-01,1.385041551
1999-07-01,1.662049861
1999-08-01,1.660516605
1999-09-01,1.84501845
1999-10-01,2.025782689
1999-11-01,2.115915363
1999-12-01,2.113970588
2000-01-01,2.203856749
2000-02-01,2.383134739
2000-03-01,2.470265325
2000-04-01,2.281021898
2000-05-01,2.459016393
2000-06-01,2.732240437
2000-07-01,2.633969119
2000-08-01,2.631578947
2000-09-01,2.626811594
2000-10-01,2.61732852
2000-11-01,2.702702703
2000-12-01,2.700270027
2001-01-01,2.964959569
2001-02-01,2.954341987
2001-03-01,2.767857143
2001-04-01,3.12221231
2001-05-01,3.022222222
2001-06-01,3.014184397
2001-07-01,2.920353982
2001-08-01,2.829354553
2001-09-01,2.647837599
2001-10-01,2.462620932
2001-11-01,2.368421053
2001-12-01,2.366345311
2002-01-01,2.356020942
2002-02-01,2.347826087
2002-03-01,2.519548219
2002-04-01,2.335640138
2002-05-01,2.329594478
2002-06-01,2.151462995
2002-07-01,2.235597592
2002-08-01,2.407566638
2002-09-01,2.579535684
2002-10-01,2.660944206
2002-11-01,2.827763496
2002-12-01,2.825342466
2003-01-01,2.813299233
2003-02-01,2.633814783
2003-03-01,2.711864407
2003-04-01,2.70498732
2003-05-01,2.698145025
2003-06-01,2.695871946
2003-07-01,2.691337258
2003-08-01,2.770780856
2003-09-01,2.766135792
2003-10-01,2.591973244
2003-11-01,2.5
2003-12-01,2.497918401
2004-01-01,2.23880597
2004-02-01,2.317880795
2004-03-01,2.310231023
2004-04-01,2.304526749
2004-05-01,2.298850575
2004-06-01,2.37899918
2004-07-01,2.293202293
2004-08-01,2.287581699
2004-09-01,2.120717781
2004-10-01,2.037489813
2004-11-01,1.869918699
2004-12-01,2.030869212
2005-01-01,1.865369019
2005-02-01,1.941747573
2005-03-01,1.935483871
2005-04-01,1.850362027
2005-05-01,1.926163724
2005-06-01,1.762820513
2005-07-01,2.081665332
2005-08-01,1.996805112
2005-09-01,1.996805112
2005-10-01,2.236421725
2005-11-01,2.234636872
2005-12-01,1.99044586
2006-01-01,2.229299363
2006-02-01,2.142857143
2006-03-01,2.056962025
2006-04-01,2.211690363
2006-05-01,2.204724409
2006-06-01,2.283464567
2006-07-01,2.196078431
2006-08-01,2.192638998
2006-09-01,2.114330462
2006-10-01,1.796875
2006-11-01,1.795472287
2006-12-01,1.8735363
2007-01-01,1.713395639
2007-02-01,1.787101787
2007-03-01,1.705426357
2007-04-01,1.545595054
2007-05-01,1.540832049
2007-06-01,1.69361047
2007-07-01,1.611665388
2007-08-01,1.609195402
2007-09-01,1.687116564
2007-10-01,2.072141213
2007-11-01,2.377300613
2007-12-01,2.605363985
2008-01-01,2.986217458
2008-02-01,2.900763359
2008-03-01,3.277439024
2008-04-01,3.348554033
2008-05-01,3.566009105
2008-06-01,3.785011355
2008-07-01,4.078549849
2008-08-01,4.07239819
2008-09-01,3.770739065
2008-10-01,3.458646617
2008-11-01,2.696629213
2008-12-01,2.240477969
2009-01-01,1.635687732
2009-02-01,1.632047478
2009-03-01,1.180811808
2009-04-01,1.17820324
2009-05-01,0.879120879
2009-06-01,0.510576222
2009-07-01,0
2009-08-01,0.144927536
2009-09-01,0.218023256
2009-10-01,0.290697674
2009-11-01,0.656455142
2009-12-01,1.022644266
2010-01-01,1.316752012
2010-02-01,1.167883212
2010-03-01,1.385849745
2010-04-01,1.528384279
2010-05-01,1.379811184
2010-06-01,1.306240929
2010-07-01,1.669085631
2010-08-01,1.591895803
2010-09-01,1.595358956
2010-10-01,1.739130435
2010-11-01,1.739130435
2010-12-01,1.879971077
2011-01-01,2.149891697
2011-02-01,2.378787879
2011-03-01,2.48647482
2011-04-01,2.620215054
2011-05-01,2.646848138
2011-06-01,2.746991404
2011-07-01,2.679657388
2011-08-01,2.758974359
2011-09-01,2.979014989
2011-10-01,3.356410256
2011-11-01,3.256837607
2011-12-01,3.287295955
2012-01-01,3.162055336
2012-02-01,3.251231527
