DATE,XTIMVA01ITM664S
1960-01-01,112773244.0
1960-02-01,121953921.0
1960-03-01,119091800.0
1960-04-01,125127729.0
1960-05-01,127654430.00000001
1960-06-01,123368283.0
1960-07-01,144682721.0
1960-08-01,125198821.99999999
1960-09-01,128316568.99999999
1960-10-01,137124269.0
1960-11-01,130837651.0
1960-12-01,127080465.0
1961-01-01,133670124.0
1961-02-01,132194818.99999999
1961-03-01,139488177.0
1961-04-01,139801697.0
1961-05-01,138337001.0
1961-06-01,142940810.0
1961-07-01,141897005.0
1961-08-01,145686031.0
1961-09-01,141794519.0
1961-10-01,137759347.0
1961-11-01,147292811.0
1961-12-01,148756865.0
1962-01-01,137580277.0
1962-02-01,154116619.0
1962-03-01,155315802.0
1962-04-01,152196116.0
1962-05-01,154590442.0
1962-06-01,158772359.0
1962-07-01,184398755.0
1962-08-01,165350660.0
1962-09-01,168847817.0
1962-10-01,171471710.0
1962-11-01,175898254.0
1962-12-01,181407821.0
1963-01-01,174282830.0
1963-02-01,174063097.0
1963-03-01,186308154.0
1963-04-01,199139463.0
1963-05-01,209799944.0
1963-06-01,203326053.0
1963-07-01,216377126.0
1963-08-01,227404149.0
1963-09-01,224772147.0
1963-10-01,216957311.0
1963-11-01,228119736.0
1963-12-01,193410628.0
1964-01-01,224318198.0
1964-02-01,217388489.0
1964-03-01,205068201.0
1964-04-01,204649160.0
1964-05-01,199203647.0
1964-06-01,213620098.0
1964-07-01,178075603.0
1964-08-01,169915363.0
1964-09-01,179555608.0
1964-10-01,185581855.0
1964-11-01,163733751.0
1964-12-01,186429167.0
1965-01-01,174405056.0
1965-02-01,192129778.0
1965-03-01,191618731.0
1965-04-01,189948511.0
1965-05-01,193492997.0
1965-06-01,193123069.0
1965-07-01,202804176.0
1965-08-01,212533078.0
1965-09-01,202521276.0
1965-10-01,203475092.0
1965-11-01,210070194.0
1965-12-01,216381674.0
1966-01-01,224340837.0
1966-02-01,217541631.0
1966-03-01,227276124.0
1966-04-01,215957732.0
1966-05-01,226606096.0
1966-06-01,233435141.0
1966-07-01,232952863.0
1966-08-01,208289400.0
1966-09-01,266196231.99999997
1966-10-01,250255167.0
1966-11-01,233864379.0
1966-12-01,235469005.0
1967-01-01,254993264.0
1967-02-01,252536062.0
1967-03-01,250569755.99999997
1967-04-01,268887967.0
1967-05-01,243508057.0
1967-06-01,260764196.99999997
1967-07-01,275177792.0
1967-08-01,258977167.99999997
1967-09-01,258381199.0
1967-10-01,272701357.0
1967-11-01,267375384.0
1967-12-01,315446435.0
1968-01-01,228543294.0
1968-02-01,237519104.0
1968-03-01,271647836.0
1968-04-01,267589576.0
1968-05-01,275388176.0
1968-06-01,279714983.0
1968-07-01,270536229.0
1968-08-01,288183388.0
1968-09-01,298010520.0
1968-10-01,257075025.99999997
1968-11-01,320967637.0
1968-12-01,314127041.0
1969-01-01,312958729.0
1969-02-01,320957954.0
1969-03-01,304349013.0
1969-04-01,320720947.0
1969-05-01,324031027.0
1969-06-01,345777421.0
1969-07-01,348516295.0
1969-08-01,338608558.0
1969-09-01,352519635.0
1969-10-01,337924717.0
1969-11-01,367522993.0
1969-12-01,350191399.0
1970-01-01,388797548.0
1970-02-01,363767871.0
1970-03-01,367492439.0
1970-04-01,403429622.0
1970-05-01,391279790.0
1970-06-01,411832133.0
1970-07-01,419245330.0
1970-08-01,410583939.0
1970-09-01,429763146.0
1970-10-01,410490641.0
1970-11-01,441789654.0
1970-12-01,391735079.0
1971-01-01,406872156.0
1971-02-01,436303338.0
1971-03-01,463194945.0
1971-04-01,378984096.0
1971-05-01,440823672.0
1971-06-01,409820483.0
1971-07-01,395255856.0
1971-08-01,462028476.0
1971-09-01,403356820.0
1971-10-01,447398601.0
1971-11-01,424881963.0
1971-12-01,444806481.0
1972-01-01,469934278.0
1972-02-01,440150659.0
1972-03-01,455793388.0
1972-04-01,469696219.0
1972-05-01,451679697.0
1972-06-01,456826924.0
1972-07-01,484835095.0
1972-08-01,488461356.0
1972-09-01,476131450.0
1972-10-01,518355260.99999994
1972-11-01,517203951.00000006
1972-12-01,569723607.0
1973-01-01,550179892.0
1973-02-01,634970348.0
1973-03-01,438500845.0
1973-04-01,578193271.0
1973-05-01,665086171.0
1973-06-01,778677346.0
1973-07-01,721052172.0
1973-08-01,762777169.0
1973-09-01,817569125.0
1973-10-01,748122460.0
1973-11-01,762707040.0
1973-12-01,896269529.0
1974-01-01,926009198.0
1974-02-01,1143091737.0
1974-03-01,1125522802.0
1974-04-01,1200139654.0
1974-05-01,963492643.0
1974-06-01,1132373817.0
1974-07-01,1418025477.0
1974-08-01,1216284965.0
1974-09-01,1180662843.0
1974-10-01,1217752707.0
1974-11-01,1135015158.0
1974-12-01,1132671692.0
1975-01-01,1107701472.0
1975-02-01,994805949.0
1975-03-01,1001570257.0
1975-04-01,939868743.0
1975-05-01,851353748.0
1975-06-01,1122582581.0
1975-07-01,1104986493.0
1975-08-01,1042712282.0000001
1975-09-01,1192999708.0
1975-10-01,1149090539.0
1975-11-01,1220976613.0
1975-12-01,1200565083.0
1976-01-01,1252932057.0
1976-02-01,1311095464.0
1976-03-01,1444651817.0
1976-04-01,1517255992.0
1976-05-01,1514670183.0
1976-06-01,1554691069.0
1976-07-01,1550691020.0
1976-08-01,1647044090.0
1976-09-01,1659924953.0
1976-10-01,1707080259.0
1976-11-01,1874404674.0
1976-12-01,1759690084.0
1977-01-01,1832621960.0
1977-02-01,1823612166.0
1977-03-01,1830025819.0
1977-04-01,1798823456.0
1977-05-01,1809993779.0
1977-06-01,1831656836.0
1977-07-01,1788361287.0
1977-08-01,1748539392.0
1977-09-01,1752439048.0
1977-10-01,1920553222.0
1977-11-01,1686588195.0
1977-12-01,2001246811.0000002
1978-01-01,1776901150.0
1978-02-01,1773858977.0
1978-03-01,1774621911.0
1978-04-01,1915145264.0
1978-05-01,1974701062.0
1978-06-01,1784410050.0
1978-07-01,2315982642.0
1978-08-01,1806027634.0
1978-09-01,1995084049.0
1978-10-01,2170014360.0
1978-11-01,2231024965.0
1978-12-01,2952513170.0
1979-01-01,2235779538.0
1979-02-01,2459253284.0
1979-03-01,2638717461.0
1979-04-01,2112643063.0000002
1979-05-01,2690149080.0
1979-06-01,2761679084.0
1979-07-01,2641168355.0
1979-08-01,2775683702.0
1979-09-01,2903805928.0
1979-10-01,2936183596.0
1979-11-01,3361755709.0
1979-12-01,3551061898.0
1980-01-01,3377745684.0
1980-02-01,3383692774.0
1980-03-01,3569016888.0
1980-04-01,3376957145.0
1980-05-01,3407174622.0
1980-06-01,3556775117.0
1980-07-01,3858621268.0
1980-08-01,4216467206.0
1980-09-01,3952661954.0
1980-10-01,3933878103.0
1980-11-01,3874822412.0
1980-12-01,3702992406.0
1981-01-01,3711349832.0
1981-02-01,4055253916.0
1981-03-01,3639439225.0
1981-04-01,4713449366.0
1981-05-01,4572387097.0
1981-06-01,4563386911.0
1981-07-01,4645222132.0
1981-08-01,4621119653.0
1981-09-01,5430178137.0
1981-10-01,4771574372.0
1981-11-01,4684448605.0
1981-12-01,4211678626.0000005
1982-01-01,5367758406.0
1982-02-01,5684924070.0
1982-03-01,5049686018.0
1982-04-01,5010588401.0
1982-05-01,4982542940.0
1982-06-01,5084202099.0
1982-07-01,5102291760.0
1982-08-01,5005910009.0
1982-09-01,4903789618.0
1982-10-01,4890854914.0
1982-11-01,5263787060.0
1982-12-01,4089107571.9999995
1983-01-01,6296058084.0
1983-02-01,4527502840.0
1983-03-01,4498601765.0
1983-04-01,5744492357.0
1983-05-01,4159969368.9999995
1983-06-01,5179260644.0
1983-07-01,5344641089.0
