DATE,XTIMVA01PLM664S
1980-01-01,4671583.0
1980-02-01,5662219.0
1980-03-01,5746075.0
1980-04-01,5749001.0
1980-05-01,6171694.0
1980-06-01,5942258.0
1980-07-01,6265291.0
1980-08-01,5216842.0
1980-09-01,5876317.0
1980-10-01,5997241.0
1980-11-01,4694084.0
1980-12-01,6849676.0
1981-01-01,7247340.0
1981-02-01,8974100.0
1981-03-01,8839297.0
1981-04-01,8504742.0
1981-05-01,7956092.0
1981-06-01,8027011.000000001
1981-07-01,7609809.0
1981-08-01,7521465.0
1981-09-01,7778479.0
1981-10-01,7977982.999999999
1981-11-01,7847364.000000001
1981-12-01,7782278.0
1982-01-01,6018038.0
1982-02-01,5705736.0
1982-03-01,7085341.0
1982-04-01,6606853.0
1982-05-01,6989699.0
1982-06-01,6870625.0
1982-07-01,7424880.0
1982-08-01,7596583.0
1982-09-01,8820773.0
1982-10-01,6922715.0
1982-11-01,8078917.999999999
1982-12-01,7829482.0
1983-01-01,7810952.0
1983-02-01,8368581.999999999
1983-03-01,7616691.0
1983-04-01,7690124.0
1983-05-01,7275984.0
1983-06-01,8220606.0
1983-07-01,7731771.0
1983-08-01,8308935.0
1983-09-01,8255322.000000001
1983-10-01,8110119.000000001
1983-11-01,9163976.0
1983-12-01,8402794.0
1984-01-01,8131579.999999999
1984-02-01,9028184.0
1984-03-01,9167698.0
1984-04-01,8883169.0
1984-05-01,10137631.0
1984-06-01,10122711.0
1984-07-01,10363616.0
1984-08-01,10371536.0
1984-09-01,9905310.0
1984-10-01,10711889.0
1984-11-01,10835186.0
1984-12-01,11738350.0
1985-01-01,11478708.0
1985-02-01,10913712.0
1985-03-01,10494335.0
1985-04-01,12050676.0
1985-05-01,11757537.0
1985-06-01,14024366.0
1985-07-01,14754045.0
1985-08-01,15112701.0
1985-09-01,13626468.0
1985-10-01,16013896.0
1985-11-01,14156043.0
1985-12-01,14450586.0
1986-01-01,14779559.0
1986-02-01,13486044.0
1986-03-01,15124733.0
1986-04-01,16536853.0
1986-05-01,15757805.0
1986-06-01,16124387.0
1986-07-01,15225362.0
1986-08-01,15474607.0
1986-09-01,17740791.0
1986-10-01,19475771.0
1986-11-01,17481689.0
1986-12-01,18109463.0
1987-01-01,15642843.0
1987-02-01,20356946.0
1987-03-01,21909437.0
1987-04-01,20338138.0
1987-05-01,20960156.0
1987-06-01,21469036.0
1987-07-01,23871208.0
1987-08-01,23705303.0
1987-09-01,25594899.0
1987-10-01,24649964.0
1987-11-01,26507898.0
1987-12-01,34887717.0
1988-01-01,29883278.0
1988-02-01,34440485.0
1988-03-01,37449254.0
1988-04-01,36116509.0
1988-05-01,41456293.0
1988-06-01,45406724.0
1988-07-01,41042222.0
1988-08-01,47409567.0
1988-09-01,41663399.0
1988-10-01,40155587.0
1988-11-01,53734338.0
1988-12-01,65415942.00000001
1989-01-01,48163026.0
1989-02-01,47632303.0
1989-03-01,57585653.0
1989-04-01,60122558.0
1989-05-01,70553571.0
1989-06-01,97356025.0
1989-07-01,82442071.0
1989-08-01,86122858.0
1989-09-01,94699081.0
1989-10-01,136142912.0
1989-11-01,198113555.0
1989-12-01,386678092.0
1990-01-01,692611700.0
1990-02-01,682166798.0
1990-03-01,560814674.0
1990-04-01,483951402.0
1990-05-01,592961128.0
1990-06-01,591949973.0
1990-07-01,642121635.0
1990-08-01,728075977.0
1990-09-01,726239402.0
1990-10-01,987502367.0
1990-11-01,879302994.0
1990-12-01,1314507042.0
1991-01-01,1200506937.0
1991-02-01,1072413660.0
