DATE,XTIMVA01ESM667S
1966-01-01,316882760.0
1966-02-01,302589022.0
1966-03-01,321700657.0
1966-04-01,299445200.0
1966-05-01,305338252.0
1966-06-01,299920149.0
1966-07-01,295465227.0
1966-08-01,285185946.0
1966-09-01,293896535.0
1966-10-01,275779526.0
1966-11-01,274925507.0
1966-12-01,313513281.0
1967-01-01,282729466.0
1967-02-01,309667521.0
1967-03-01,284844998.0
1967-04-01,286772895.0
1967-05-01,306008815.0
1967-06-01,307805135.0
1967-07-01,296876636.0
1967-08-01,299163188.0
1967-09-01,291257062.0
1967-10-01,244943223.0
1967-11-01,274171280.0
1967-12-01,278437902.0
1968-01-01,283441902.0
1968-02-01,275454580.0
1968-03-01,287693404.0
1968-04-01,295123422.0
1968-05-01,290375443.0
1968-06-01,255919129.00000003
1968-07-01,274105176.0
1968-08-01,317456750.0
1968-09-01,297247492.0
1968-10-01,309162105.0
1968-11-01,322684085.0
1968-12-01,310518440.0
1969-01-01,322479021.0
1969-02-01,292557938.0
1969-03-01,315056225.0
1969-04-01,342633819.0
1969-05-01,356285479.0
1969-06-01,320323325.0
1969-07-01,330008464.0
1969-08-01,382402128.0
1969-09-01,382278952.0
1969-10-01,408405691.0
1969-11-01,388095963.0
1969-12-01,388909501.0
1970-01-01,410145576.0
1970-02-01,372582447.0
1970-03-01,373193849.0
1970-04-01,454453063.0
1970-05-01,341424859.0
1970-06-01,413231831.0
1970-07-01,394171108.0
1970-08-01,368670601.0
1970-09-01,380857134.0
1970-10-01,418134012.0
1970-11-01,396005945.0
1970-12-01,418672745.0
1971-01-01,404469912.0
1971-02-01,373527773.0
1971-03-01,397160577.0
1971-04-01,384743784.0
1971-05-01,404941257.0
1971-06-01,422978322.0
1971-07-01,420157727.0
1971-08-01,377733148.0
1971-09-01,462761740.0
1971-10-01,453796844.0
1971-11-01,453420996.0
1971-12-01,447685027.0
1972-01-01,504581954.00000006
1972-02-01,561151767.0
1972-03-01,533578212.99999994
1972-04-01,566046619.0
1972-05-01,537413206.0
1972-06-01,579338603.0
1972-07-01,562602500.0
1972-08-01,587303888.0
1972-09-01,554194584.0
1972-10-01,611943848.0
1972-11-01,626862004.0
1972-12-01,595861689.0
1973-01-01,641043898.0
1973-02-01,723650690.0
1973-03-01,729833653.0
1973-04-01,721495762.0
1973-05-01,784576621.0
1973-06-01,809439321.0
1973-07-01,733464240.0
1973-08-01,879268511.0
1973-09-01,912959425.0
1973-10-01,921386952.0
1973-11-01,891457160.0
1973-12-01,962688680.0
1974-01-01,1054611382.9999999
1974-02-01,928580150.0
1974-03-01,1188844713.0
1974-04-01,1371533460.0
1974-05-01,1325124714.0
1974-06-01,1370893503.0
1974-07-01,1408965880.0
1974-08-01,1219583486.0
1974-09-01,1356288811.0
1974-10-01,1365789721.0
1974-11-01,1420488509.0
1974-12-01,1425831623.0
1975-01-01,1340871408.0
1975-02-01,1378902724.0
1975-03-01,1412674334.0
1975-04-01,1611961443.0
1975-05-01,1394070595.0
1975-06-01,1385716693.0
1975-07-01,1235337762.0
1975-08-01,1260217033.0
1975-09-01,1221516878.0
1975-10-01,1458343397.0
1975-11-01,1312816539.0
1975-12-01,1231138608.0
1976-01-01,1380141994.0
1976-02-01,1373879479.0
1976-03-01,1313826083.0
1976-04-01,1359889714.0
1976-05-01,1490699180.0
1976-06-01,1396201000.0
1976-07-01,1372596058.0
1976-08-01,1485448711.0
1976-09-01,1503547165.0
1976-10-01,1405701928.0
1976-11-01,1522156029.0
1976-12-01,1827327033.0
1977-01-01,1154544540.0
1977-02-01,1550422923.0
1977-03-01,1515205561.0
1977-04-01,1529369841.0
1977-05-01,1719783214.0
1977-06-01,1604441267.0
1977-07-01,1246595589.0
1977-08-01,1519110150.0
1977-09-01,1543763015.0
1977-10-01,1429433481.0
1977-11-01,1447520614.0
1977-12-01,1524147510.0
1978-01-01,1545660116.0
1978-02-01,1618325402.0
1978-03-01,1299532373.0
1978-04-01,1336342980.0
1978-05-01,1516237401.0
1978-06-01,1682639208.0
1978-07-01,1616601676.0
1978-08-01,1377681447.0
1978-09-01,1557739651.0
1978-10-01,1819318143.0
1978-11-01,1711440967.0
1978-12-01,1587580409.0
1979-01-01,1743037975.0
1979-02-01,1987893347.0
1979-03-01,1680502279.0
1979-04-01,1781319025.0
1979-05-01,2030650511.9999998
1979-06-01,1841653993.0
1979-07-01,2368657925.0
1979-08-01,2175488902.0
1979-09-01,2193127148.0
1979-10-01,2497205301.0
1979-11-01,2509514554.0
1979-12-01,2587660955.0
1980-01-01,2543937675.0
1980-02-01,2870508232.0
1980-03-01,2739239526.0
1980-04-01,3049812075.0
1980-05-01,2550142988.0
1980-06-01,2935362953.0
1980-07-01,2602284680.0
1980-08-01,2338992817.0
1980-09-01,3467194990.0
1980-10-01,2847043520.0
1980-11-01,2843726380.0
1980-12-01,2894133560.0
1981-01-01,2267324904.0
1981-02-01,2655457689.0
1981-03-01,2779918120.0
1981-04-01,2847851991.0
1981-05-01,2813300355.0
1981-06-01,2896400235.0
1981-07-01,2580206287.0
1981-08-01,2753429007.0
1981-09-01,2296928552.0
1981-10-01,3481981670.0
1981-11-01,2315102280.0
1981-12-01,2723752303.0
1982-01-01,2565112105.0
1982-02-01,2682123729.0
1982-03-01,2735310523.0
1982-04-01,2831030313.0
1982-05-01,2420548414.0
1982-06-01,2791568466.0
1982-07-01,2552281959.0
1982-08-01,2474066534.0
1982-09-01,2513713692.0
1982-10-01,2124787553.0
1982-11-01,2917300153.0
1982-12-01,2976742166.0
1983-01-01,2566027002.0
1983-02-01,2651683469.0
1983-03-01,2590894914.0
1983-04-01,2534990960.0
1983-05-01,2608543332.0
1983-06-01,2437118146.0
1983-07-01,2148773938.0
1983-08-01,2383279636.0
1983-09-01,2057135585.9999998
1983-10-01,2186301682.0
1983-11-01,2421505117.0
1983-12-01,2688835077.0
1984-01-01,2582400964.0
1984-02-01,2468457800.0
1984-03-01,2389292777.0
1984-04-01,2270561911.0
1984-05-01,2558512620.0
1984-06-01,2332590135.0
1984-07-01,2786304745.0
1984-08-01,2272624170.0
1984-09-01,2092801566.0
1984-10-01,2449288783.0
1984-11-01,2383927914.0
1984-12-01,2234181810.0
1985-01-01,2676372325.0
1985-02-01,2224948593.0
1985-03-01,2088445846.0
1985-04-01,2558247651.0
1985-05-01,2608459343.0
1985-06-01,2368904034.0
1985-07-01,2257522899.0
1985-08-01,2716974622.0
1985-09-01,2339301218.0
1985-10-01,2563650837.0
1985-11-01,2507695841.0
1985-12-01,3462685982.0
1986-01-01,2470645335.0
1986-02-01,2609081881.0
1986-03-01,2501810771.0
1986-04-01,2914825518.0
1986-05-01,2696914900.0
1986-06-01,3323049465.0
1986-07-01,3172848599.0
1986-08-01,2777352145.0
1986-09-01,3018856674.0
1986-10-01,3547340286.0
1986-11-01,3199785251.0
1986-12-01,3324571043.0
1987-01-01,3183594390.0
1987-02-01,3835914356.0
1987-03-01,3590957674.0
1987-04-01,3888325572.0
1987-05-01,3945155999.0
1987-06-01,3727675720.0
1987-07-01,4406379801.0
1987-08-01,3943388959.0
1987-09-01,4390058340.0
1987-10-01,4639625789.0
1987-11-01,4528313426.0
1987-12-01,4735935231.0
1988-01-01,4246888553.0
1988-02-01,4899317926.0
1988-03-01,4970873642.0
1988-04-01,4998327821.0
1988-05-01,4991819162.0
1988-06-01,4996356456.0
1988-07-01,4386767831.0
1988-08-01,5141876246.0
1988-09-01,5327884461.0
1988-10-01,4744260913.0
1988-11-01,5376479684.0
1988-12-01,5895005858.0
1989-01-01,5799843633.0
1989-02-01,5623870793.0
1989-03-01,6048562055.0
1989-04-01,5796160274.0
1989-05-01,5676923552.0
1989-06-01,5811081055.0
1989-07-01,5524317816.0
1989-08-01,6091306736.0
1989-09-01,5774383363.0
1989-10-01,5980944922.0
1989-11-01,6275738523.0
1989-12-01,5978148580.0
1990-01-01,6908143479.0
1990-02-01,6809587271.0
1990-03-01,6673572330.0
1990-04-01,6594031353.0
1990-05-01,7066705218.0
1990-06-01,7187003732.0
1990-07-01,6968882673.0
1990-08-01,7352586860.0
1990-09-01,7088357574.0
1990-10-01,8156931797.0
1990-11-01,8700870649.0
1990-12-01,7466746335.0
1991-01-01,9318076441.0
1991-02-01,8088678931.0
1991-03-01,6744488976.0
1991-04-01,8294597058.000001
1991-05-01,7153959029.0
1991-06-01,6688615313.0
1991-07-01,7329090397.0
1991-08-01,7303871810.0
1991-09-01,7278128145.0
1991-10-01,8194812964.000001
1991-11-01,8241562234.0
1991-12-01,7993465388.0
1992-01-01,8712923705.0
1992-02-01,8447803675.999999
1992-03-01,8188631912.0
1992-04-01,8144010640.999999
1992-05-01,8295902771.0
1992-06-01,8357588187.999999
1992-07-01,9471411824.0
1992-08-01,8889941594.0
1992-09-01,8418112362.0
1992-10-01,8223286400.999999
1992-11-01,7022921553.0
1992-12-01,7880012405.0
1993-01-01,6834573788.0
1993-02-01,6625105802.0
1993-03-01,7083379299.0
1993-04-01,7058588149.0
1993-05-01,6732398082.0
1993-06-01,6811631919.0
1993-07-01,6259328954.0
1993-08-01,6069555392.0
1993-09-01,6832096659.0
1993-10-01,6474363743.0
1993-11-01,6555570347.0
1993-12-01,7168810300.0
1994-01-01,6168259176.0
1994-02-01,6850326187.0
1994-03-01,7010749399.0
1994-04-01,7625458971.0
1994-05-01,7021846687.0
1994-06-01,8139150100.0
1994-07-01,7637205960.0
1994-08-01,8210913186.999999
1994-09-01,8585469872.999999
1994-10-01,8318805684.000001
1994-11-01,8082687778.0
1994-12-01,9648732834.0
1995-01-01,8521007680.0
1995-02-01,8799742641.0
1995-03-01,9083514609.0
1995-04-01,9383823710.0
1995-05-01,9852992350.0
1995-06-01,9979195898.0
1995-07-01,10136258430.0
1995-08-01,9982647267.0
1995-09-01,9935474493.0
1995-10-01,10288096270.0
1995-11-01,10311696040.0
1995-12-01,10466434490.0
1996-01-01,10009065910.0
1996-02-01,10690453360.0
1996-03-01,10276499550.0
1996-04-01,10486099140.0
1996-05-01,9991563719.0
1996-06-01,10324471900.0
1996-07-01,10675942910.0
1996-08-01,10146380350.0
1996-09-01,10492971390.0
