0,mark,prod,date
0,434.9564,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-01
1,433.9692,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-02
2,434.88467,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-03
3,435.34186,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-04
4,435.49982,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-05
5,435.57312,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-06
6,435.61572,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-07
7,435.64548,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-08
8,435.66522,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-09
9,435.6761,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-10
10,435.68225,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-11
11,435.69003,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-12
12,435.70984,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-13
13,435.74304,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-14
14,435.79077,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-15
15,435.86267,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-16
16,435.97073,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-17
17,436.11768,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-18
18,436.27774,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-19
19,436.45355,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-20
20,436.6347,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-21
21,436.7677,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-22
22,436.8364,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-23
23,436.84534,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-24
24,436.8227,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-25
25,436.78876,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-26
26,436.76306,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-27
27,436.75726,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-28
