0,mark_,prod_,country_,date_
0,-25.358074,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-01
1,-28.162312,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-02
2,-19.906603,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-03
3,12.863979,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-04
4,39.666645,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-05
5,-22.494158,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-06
6,-21.97335,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-07
7,-23.521254,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-08
8,-29.237812,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-09
9,-18.515514,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-10
10,18.248816,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-11
11,41.35587,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-12
12,-34.26269,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-13
13,-43.315365,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-14
14,-42.155262,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-15
15,-37.585632,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-16
16,-21.011717,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-17
17,19.821596,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-18
18,44.28354,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-19
19,-36.589027,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-20
20,-52.65227,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-21
21,-45.863403,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-22
22,-41.67942,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-23
23,-23.854847,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-24
24,16.253832,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-25
25,39.54645,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-26
26,-28.193064,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-27
27,-37.27574,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-28
28,-28.446903,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-29
29,-21.663275,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-30
30,-6.039394,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-01-31
31,30.489174,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-01
32,47.463737,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-02
33,-18.656902,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-03
34,-25.00838,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-04
35,-22.47906,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-05
36,-26.459864,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-06
37,-18.405794,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-07
38,16.63578,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-08
39,42.48196,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-09
40,-31.137749,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-10
41,-27.833872,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-11
42,-26.84667,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-12
43,-29.797216,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-13
44,-15.908703,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-14
45,20.31378,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-15
46,43.610477,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-16
47,-33.90293,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-17
48,-48.737362,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-18
49,-45.39088,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-19
50,-37.821507,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-20
51,-21.20934,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-21
52,24.366816,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-22
53,52.081043,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-23
54,-27.882702,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-24
55,-46.10214,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-25
56,-42.037224,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-26
57,-31.229376,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-27
58,-17.489082,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-28
59,21.550793,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-02-29
60,44.9479,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-01
61,-22.692501,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-02
62,-25.697662,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-03
63,-21.63751,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-04
64,-24.263899,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-05
65,-15.419951,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-06
66,18.666647,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-07
67,43.16794,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-08
68,-33.21948,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-09
69,-32.526817,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-10
70,-29.125957,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-11
71,-29.042856,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-12
72,-17.494091,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-13
73,20.389435,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-14
74,46.47342,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-15
75,-32.853485,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-16
76,-34.91466,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-17
77,-32.601326,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-18
78,-24.731504,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-19
79,-10.872079,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-20
80,27.01665,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-21
81,49.51168,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-22
82,-30.317097,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-23
83,-45.68483,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-24
84,-45.21541,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-25
85,-32.77739,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-26
86,-16.545563,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-27
87,23.820734,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-28
88,51.72325,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-29
89,-14.18507,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-30
90,-36.763996,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-03-31
91,-29.747803,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-01
92,-22.45912,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-02
93,-11.982793,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-03
94,22.999695,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-04
95,43.229523,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-05
96,-32.56439,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-06
97,-31.287758,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-07
98,-27.618286,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-08
99,-26.369625,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-09
100,-18.266094,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-10
101,17.986395,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-11
102,45.491474,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-12
103,-33.770782,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-13
104,-35.99106,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-14
105,-34.845142,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-15
106,-27.92705,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-16
107,-14.7097025,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-17
108,23.468636,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-18
109,46.806126,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-19
110,-32.245094,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-20
111,-33.075943,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-21
112,-33.44428,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-22
113,-24.186779,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-23
114,-8.030094,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-24
115,32.420692,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-25
116,53.49977,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-26
117,-22.361555,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-27
118,-41.733498,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-28
119,-40.49775,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-29
120,-29.71283,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-04-30
121,-9.452224,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-01
122,26.415316,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-02
123,43.357937,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-03
124,-33.182735,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-04
125,-30.884129,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-05
126,-27.917727,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-06
127,-24.787598,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-07
128,-16.72938,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-08
129,16.374147,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-09
130,44.016087,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-10
131,-34.435703,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-11
132,-38.2498,KaggleMart,Kaggle for Kids: One Smart Goose,France,2020-05-12
